language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups,threshold,loan_class,thin_lang_note
Turkmen,bone,syŋk,s y ŋ k,savelyev,-1.5433,-1.5433,False,False,True,4,4,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Kazakh,feather,ʒe,ʒ e,lexstat,-1.1027,-1.4027,True,False,False,2,2,-1.1851,unknown,
Yakut,egg,sɯmɯ:t,s ɯ m ɯː t,savelyev,-1.2229,-1.2229,False,False,False,5,5,-1.1851,unknown,
Uyghur,all,ʒiqil,ʒ i q i l,lexstat,-1.401,-1.701,True,False,True,5,5,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Yakut,all,tys,t y s,lexstat,-1.3245,-1.6245,True,False,False,3,3,-1.1851,unknown,
Chuvash,all,yk,y k,lexstat,-1.1483,-1.4483,True,False,False,2,2,-1.1851,unknown,
Yakut,head,sy:s,s yː s,savelyev,-1.2839,-1.2839,False,False,False,3,3,-1.1851,unknown,
Chuvash,hair,ɕyɕ,ɕ y ɕ,savelyev,-1.2064,-1.2064,False,False,False,3,3,-1.1851,unknown,
Kyrgyz,horn,myjyz,m y j y z,savelyev,-2.468,-2.468,False,False,True,5,5,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Uyghur,horn,? myŋgyz,m y ŋ g y z,savelyev,-3.0289,-3.0289,False,False,True,6,6,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Yakut,horn,muos,m u o s,savelyev,-1.2687,-1.2687,False,False,False,4,4,-1.1851,unknown,
Kyrgyz,many,køp,k ø p,savelyev,-2.2184,-2.2184,False,False,True,3,3,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Yakut,seed,kør,k ø r,lexstat,-0.9739,-1.2739,True,False,False,3,3,-1.1851,unknown,
Turkmen,small,kiʨi(ʥik),k i ʨ i ʥ i k,savelyev,-1.8743,-1.8743,False,False,True,7,7,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Yakut,tree,mas,m a s,savelyev,-1.2068,-1.2068,False,False,False,3,3,-1.1851,unknown,
Turkmen,what,nɛme,n æ m e,savelyev,-1.6173,-1.6173,False,False,True,4,4,-1.1851,unknown,LOW_CONFIDENCE_thin_lang
Yakut,who,kim,k i m,savelyev,-1.1945,-1.1945,False,False,False,3,3,-1.1851,unknown,
Kazakh,woman,bɪjke,b ɪ j k e,lexstat,-0.9314,-1.2314,True,False,False,5,5,-1.1851,unknown,
Chuvash,flesh,aʂ,a ʂ,lexstat,-1.0926,-1.3926,True,False,False,2,2,-1.1851,unknown,
Chuvash,small,ˈpɘt͡ɕɘk,p ɘ tɕ ɘ k,lexstat,-1.2966,-1.5966,True,False,False,5,5,-1.1851,unknown,
Chuvash,many,miˈɕ̬ɛ,m i ɕ ɛ,lexstat,-1.1597,-1.4597,True,False,False,4,4,-1.1851,unknown,
Yakut,woman,ɟaxtaɾ,ɟ a x t a ɾ,lexstat,-1.0983,-1.3983,True,False,False,6,6,-1.1851,unknown,
Yakut,many,tøhø,t ø h ø,lexstat,-1.1502,-1.4502,True,False,False,4,4,-1.1851,unknown,
Turkish,clever,zɛkiː,z ɛ k iː,northeuralex,-1.9189,-1.9189,False,False,False,4,4,-1.1851,unknown,
Uzbek,seven,ɛtːi,ɛ tː i,northeuralex,-1.2267,-1.2267,False,False,False,3,3,-1.1851,unknown,
Kazakh,flower,ɡʊl,g ʊ l,northeuralex,-1.1981,-1.1981,False,False,False,3,3,-1.1851,unknown,
Kazakh,wish,mʊdːe,m ʊ dː e,northeuralex,-2.2809,-2.2809,False,False,False,4,4,-1.1851,unknown,
Chuvash,nape,ɘnˈs̬ɛ,ɘ n s ɛ,northeuralex,-1.2197,-1.2197,False,False,False,4,4,-1.1851,unknown,
Chuvash,breast,ˈumɘ,u m ɘ,northeuralex,-1.1875,-1.1875,False,False,False,3,3,-1.1851,unknown,
Chuvash,elbow,t͡ɕaʋˈs̬a,tɕ a ʋ s a,northeuralex,-1.1874,-1.1874,False,False,False,5,5,-1.1851,unknown,
Chuvash,thigh,ˈpɘɕɘ,p ɘ ɕ ɘ,northeuralex,-1.3078,-1.3078,False,False,False,4,4,-1.1851,unknown,
Chuvash,heart,t͡ɕɘˈrɛ,tɕ ɘ r ɛ,northeuralex,-1.2736,-1.2736,False,False,False,4,4,-1.1851,unknown,
Chuvash,earth,ɕɘr,ɕ ɘ r,northeuralex,-1.2233,-1.2233,False,False,False,3,3,-1.1851,unknown,
Chuvash,frost,ˈsiʋɘ,s i ʋ ɘ,northeuralex,-1.2312,-1.2312,False,False,False,4,4,-1.1851,unknown,
Chuvash,chill,ˈsiʋɘ,s i ʋ ɘ,northeuralex,-1.2312,-1.2312,False,False,False,4,4,-1.1851,unknown,
Chuvash,hill,tɘmɛsˈkɛ,t ɘ m ɛ s k ɛ,northeuralex,-1.1938,-1.1938,False,False,False,7,7,-1.1851,unknown,
Chuvash,flower,t͡ɕɛˈt͡ɕ̬ɛk,tɕ ɛ tɕ ɛ k,northeuralex,-1.2639,-1.2639,False,False,False,5,5,-1.1851,unknown,
Chuvash,cow,ɘˈnɛ,ɘ n ɛ,northeuralex,-1.1883,-1.1883,False,False,False,3,3,-1.1851,unknown,
Chuvash,grain,ˈtɘʂɘ,t ɘ ʂ ɘ,northeuralex,-1.249,-1.249,False,False,False,4,4,-1.1851,unknown,
Chuvash,grain,ˈpɘrt̬͡ɕɘ,p ɘ r tɕ ɘ,northeuralex,-1.2671,-1.2671,False,False,False,5,5,-1.1851,unknown,
Chuvash,silver,ˈkɘmɘl,k ɘ m ɘ l,northeuralex,-1.1885,-1.1885,False,False,False,5,5,-1.1851,unknown,
Chuvash,child,aˈt͡ɕ̬a,a tɕ a,northeuralex,-1.2353,-1.2353,False,False,False,3,3,-1.1851,unknown,
Chuvash,boy,aˈt͡ɕ̬a,a tɕ a,northeuralex,-1.2353,-1.2353,False,False,False,3,3,-1.1851,unknown,
Chuvash,wish,ˈɘmɘt,ɘ m ɘ t,northeuralex,-1.2553,-1.2553,False,False,False,4,4,-1.1851,unknown,
Chuvash,memory,as,a s,northeuralex,-1.2394,-1.2394,False,False,False,2,2,-1.1851,unknown,
Chuvash,voice,ˈsasə,s a s ə,northeuralex,-1.211,-1.211,False,False,False,4,4,-1.1851,unknown,
Chuvash,call,t͡ɕɘny,tɕ ɘ n y,northeuralex,-1.2293,-1.2293,False,False,False,4,4,-1.1851,unknown,
Chuvash,sound,ˈsasə,s a s ə,northeuralex,-1.211,-1.211,False,False,False,4,4,-1.1851,unknown,
Chuvash,tone,ˈsasə,s a s ə,northeuralex,-1.211,-1.211,False,False,False,4,4,-1.1851,unknown,
Chuvash,matter,ɘɕ,ɘ ɕ,northeuralex,-1.3717,-1.3717,False,False,False,2,2,-1.1851,unknown,
Chuvash,sort,tɘs,t ɘ s,northeuralex,-1.2481,-1.2481,False,False,False,3,3,-1.1851,unknown,
Chuvash,fringe,ʋɘɕ,ʋ ɘ ɕ,northeuralex,-1.2202,-1.2202,False,False,False,3,3,-1.1851,unknown,
Chuvash,corner,kɘˈt̬ɛs,k ɘ t ɛ s,northeuralex,-1.213,-1.213,False,False,False,5,5,-1.1851,unknown,
Chuvash,tip,ʋɘɕ,ʋ ɘ ɕ,northeuralex,-1.2202,-1.2202,False,False,False,3,3,-1.1851,unknown,
Chuvash,end,ʋɘɕ,ʋ ɘ ɕ,northeuralex,-1.2202,-1.2202,False,False,False,3,3,-1.1851,unknown,
Chuvash,angle,kɘˈt̬ɛs,k ɘ t ɛ s,northeuralex,-1.213,-1.213,False,False,False,5,5,-1.1851,unknown,
Chuvash,boat,ˈkimɘ,k i m ɘ,northeuralex,-1.2032,-1.2032,False,False,False,4,4,-1.1851,unknown,
Chuvash,window,t͡ɕyrɛˈt͡ɕ̬ɛ,tɕ y r ɛ tɕ ɛ,northeuralex,-1.2325,-1.2325,False,False,False,6,6,-1.1851,unknown,
Chuvash,spade,kɘrɛˈɕ̬ɛ,k ɘ r ɛ ɕ ɛ,northeuralex,-1.2062,-1.2062,False,False,False,6,6,-1.1851,unknown,
