#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="treeLikelihood.turkic" spec="beast.base.evolution.likelihood.TreeLikelihood" useAmbiguities="true">
#        <tree IsLabelledNewick="true" id="Tree.t:turkic" newick="(Chuvash:1800,(Yakut:1500,(Azerbaijani:800,(Turkmen:600,(Turkish:500,(Uzbek:400,(Uyghur:350,(Kazakh:300,Kyrgyz:300):50):50):50):100):200):700):300):300;" spec="beast.base.evolution.tree.TreeParser">
#            <taxonset id="TaxonSet.turkic" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Azerbaijani" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Chuvash" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Kazakh" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Kyrgyz" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Turkish" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Turkmen" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Uyghur" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Uzbek" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Yakut" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#        </tree>
#        <siteModel gammaCategoryCount="4" id="SiteModel.s:turkic" spec="beast.base.evolution.sitemodel.SiteModel">
#            <parameter id="shape.s:turkic" lower="0.0" name="shape" spec="beast.base.inference.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <substModel id="MkModel.s:turkic" spec="beast.base.evolution.substitutionmodel.GeneralSubstitutionModel">
#                <parameter dimension="2" id="rates.s:turkic" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0</parameter>
#                <frequencies id="freqs.s:turkic" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                    <parameter dimension="2" id="freqParameter.s:turkic" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                </frequencies>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="StrictClock.c:turkic" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#            <parameter id="clockRate.c:turkic" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:turkic" spec="beast.base.evolution.speciation.YuleModel" tree="@Tree.t:turkic">
#            <parameter id="birthRate.t:turkic" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        </distribution>
#        <distribution id="ProtoTurkicRoot.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" taxonset="@TaxonSet.turkic" tree="@Tree.t:turkic">
#            <distr id="LogNormalDistributionModel" meanInRealSpace="true" spec="beast.base.inference.distribution.LogNormalDistributionModel">
#                <M id="Function$Constant" spec="beast.base.core.Function$Constant" value="2100.0"/>
#                <S id="Function$Constant1" spec="beast.base.core.Function$Constant" value="0.12"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.clockRate" spec="beast.base.inference.distribution.Prior" x="@clockRate.c:turkic">
#            <distr id="Exponential" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant2" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.birthRate" spec="beast.base.inference.distribution.Prior" x="@birthRate.t:turkic">
#            <distr id="Exponential1" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant3" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.shape" spec="beast.base.inference.distribution.Prior" x="@shape.s:turkic">
#            <distr id="Exponential2" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant4" spec="beast.base.core.Function$Constant" value="0.5"/>
#            </distr>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	prior	treeLikelihood	YuleModel	birthRate	clockRate	shape	Tree.height	Tree.treeLength
0	-8765.254917677103	-8209.350878868026	-555.9040388090764	-8200.0	1.0	1.0	0.5	1800.0	8200.0
5000	-455.04100982354555	-65.8552379308545	-389.18577189269104	-58.48948368965577	0.0025245957592283817	0.0032784659463606087	0.7596700828582267	1947.8533844202932	4212.986992220198
10000	-452.93838317768405	-70.66955074535953	-382.26883243232453	-60.79367532921406	0.0010740045409453325	4.6501844137681404E-4	1.8485546303510334	1837.1729801331276	5682.272893514436
15000	-451.404931538173	-75.34452525640485	-376.06040628176817	-64.46131577791317	8.389124585316455E-4	1.5221138986739084E-4	2.393024632120776	1857.3930285791316	9290.697880493259
20000	-456.00635289430437	-76.45733525193343	-379.5490176423709	-66.47168321114702	5.202558233559461E-4	1.4005374566111598E-4	2.10357484395699	1989.1040020738544	11498.50467328416
25000	-454.98671099667934	-76.30609208586732	-378.68061891081203	-63.80149262150712	0.0013018902077056955	1.7361402746291334E-4	3.368529476736038	2000.452890695888	8180.404185721092
30000	-453.99949573670165	-75.6519193063108	-378.34757643039086	-64.61098774702822	6.075159268835988E-4	1.9376452619288952E-4	2.6272464659424477	2130.302594542882	8825.991520134214
35000	-450.7470389910929	-75.28961443010577	-375.45742456098714	-62.78423021868015	0.00129477728430002	2.4446723121267433E-4	2.9991275560893254	1771.67940648281	7405.827779108129
40000	-456.0223345720468	-74.90031054455548	-381.12202402749136	-63.056627248815914	0.0013821134054423075	1.6937602907654873E-4	2.386970296351985	1690.149206883088	7512.766480195273
45000	-455.89156247551784	-78.0090105270013	-377.88255194851655	-65.17620876355714	0.0012310020415094427	1.8213585117981068E-4	3.514182094548689	2143.9783932351406	9404.366675489813
50000	-454.2095506338402	-75.72027924689499	-378.4892713869452	-61.39774166501832	0.0015066666506156083	2.64842902820737E-4	2.96631069596099	1559.2674172704087	6248.825501975352
55000	-454.9776947610052	-78.12787793679455	-376.8498168242106	-64.91787868857614	6.516472644117216E-4	1.5752798889225595E-4	3.679330809951839	1942.793930683212	9560.113032471603
60000	-452.8083556573166	-74.02482179455208	-378.7835338627645	-63.25300876520039	7.182139861904814E-4	2.3572487463751696E-4	2.4459359158924934	1929.4913319815028	7439.377189298471
65000	-450.50675291155363	-74.65352897013524	-375.8532239414184	-63.353213768946425	6.061645469949286E-4	2.485301819445145E-4	2.102581695987224	1686.918491743171	6741.306723960584
70000	-455.16400941907386	-78.32477644743582	-376.83923297163807	-65.482213287898	4.6250616574357035E-4	2.482861618429236E-4	3.5084321366773334	1956.3938801154036	8759.684150975403
75000	-454.2648083202421	-75.57554258593187	-378.6892657343102	-65.46708770364782	9.522147386533458E-4	1.3962092227325993E-4	2.1639331147427088	2124.873307109798	10305.792845794887
80000	-454.33739848181676	-76.82456885498331	-377.5128296268335	-64.63795320862056	7.164751080680131E-4	2.076077822858807E-4	3.1551084354321475	1931.049068059371	9363.363380833922
85000	-457.0080087639732	-76.21343705409689	-380.79457170987627	-65.20611140234487	0.0014695628127971057	1.5432318857749712E-4	2.3065727488240353	1792.002527353859	8862.355973793407
90000	-453.9543394403392	-77.15527098477594	-376.79906845556326	-65.70822180124081	0.0010030305136117014	1.5439002107355899E-4	2.786509514617051	1932.2169383264138	10438.75223553847
95000	-455.3416264712988	-77.48585188623156	-377.85577458506725	-66.32394998123287	6.27396480613912E-4	1.1977559294959972E-4	2.53692468534989	2271.0246494822914	11687.179055342745
100000	-454.16657918433776	-75.11552671408924	-379.0510524702485	-64.62721650261784	9.893627306029342E-4	1.6598388157238066E-4	2.3071073388395025	1932.1865088679149	9379.391387060297
105000	-455.1460854930681	-75.15638527817654	-379.9897002148915	-62.791324961392526	7.82615777092496E-4	2.1715529791289104E-4	1.4988375059316321	1487.6568121578532	7115.0820312974
110000	-453.8616790985345	-78.98337493261963	-374.87830416591487	-66.31900608513693	5.8518801720825E-4	1.280543012900091E-4	3.3333169657632746	2239.4629805905515	11569.592955746075
115000	-452.90414313124427	-72.82121020180519	-380.0829329294391	-63.72620259794312	0.0018304071289390116	2.3167561020758754E-4	1.6575925505452538	1989.1756423943275	7266.398546705769
