#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="treeLikelihood.turkic" spec="beast.base.evolution.likelihood.TreeLikelihood" useAmbiguities="true">
#        <tree IsLabelledNewick="true" id="Tree.t:turkic" newick="(Chuvash:1800,(Yakut:1500,(Azerbaijani:800,(Turkmen:600,(Turkish:500,(Uyghur:350,(Uzbek:300,(Kazakh:300,Kyrgyz:300):50):50):100):200):700):300):300);" spec="beast.base.evolution.tree.TreeParser">
#            <taxonset id="TaxonSet.turkic" spec="beast.base.evolution.alignment.TaxonSet">
#                <taxon id="Azerbaijani" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Chuvash" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Kazakh" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Kyrgyz" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Turkish" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Turkmen" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Uyghur" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Uzbek" spec="beast.base.evolution.alignment.Taxon"/>
#                <taxon id="Yakut" spec="beast.base.evolution.alignment.Taxon"/>
#            </taxonset>
#        </tree>
#        <siteModel gammaCategoryCount="4" id="SiteModel.s:turkic" spec="beast.base.evolution.sitemodel.SiteModel">
#            <parameter id="shape.s:turkic" lower="0.0" name="shape" spec="beast.base.inference.parameter.RealParameter" upper="100.0">0.5</parameter>
#            <substModel id="MkModel.s:turkic" spec="beast.base.evolution.substitutionmodel.GeneralSubstitutionModel">
#                <parameter dimension="2" id="rates.s:turkic" lower="0.0" name="rates" spec="beast.base.inference.parameter.RealParameter">1.0 1.0</parameter>
#                <frequencies id="freqs.s:turkic" spec="beast.base.evolution.substitutionmodel.Frequencies">
#                    <parameter dimension="2" id="freqParameter.s:turkic" lower="0.0" name="frequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                </frequencies>
#            </substModel>
#        </siteModel>
#        <branchRateModel id="StrictClock.c:turkic" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#            <parameter id="clockRate.c:turkic" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        </branchRateModel>
#    </distribution>
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:turkic" spec="beast.base.evolution.speciation.YuleModel" tree="@Tree.t:turkic">
#            <parameter id="birthRate.t:turkic" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#        </distribution>
#        <distribution id="ProtoTurkicRoot.prior" monophyletic="true" spec="beast.base.evolution.tree.MRCAPrior" taxonset="@TaxonSet.turkic" tree="@Tree.t:turkic">
#            <distr id="LogNormalDistributionModel" meanInRealSpace="true" spec="beast.base.inference.distribution.LogNormalDistributionModel">
#                <M id="Function$Constant" spec="beast.base.core.Function$Constant" value="2100.0"/>
#                <S id="Function$Constant1" spec="beast.base.core.Function$Constant" value="0.12"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.clockRate" spec="beast.base.inference.distribution.Prior" x="@clockRate.c:turkic">
#            <distr id="Exponential" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant2" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.birthRate" spec="beast.base.inference.distribution.Prior" x="@birthRate.t:turkic">
#            <distr id="Exponential1" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant3" spec="beast.base.core.Function$Constant" value="1.0"/>
#            </distr>
#        </distribution>
#        <distribution id="prior.shape" spec="beast.base.inference.distribution.Prior" x="@shape.s:turkic">
#            <distr id="Exponential2" spec="beast.base.inference.distribution.Exponential">
#                <mean id="Function$Constant4" spec="beast.base.core.Function$Constant" value="0.5"/>
#            </distr>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	prior	treeLikelihood	YuleModel	birthRate	clockRate	shape	Tree.height	Tree.treeLength
0	-9920.215707007168	-9358.766490753613	-561.4492162535558	-9350.0	1.0	1.0	0.5	2000.0	9350.0
5000	-459.792480333257	-66.51748736993298	-393.27499296332405	-58.40903744695906	0.0017736536280090916	0.00361580901224688	1.1792324085899561	2033.808565755735	4358.984199849668
10000	-453.45846674767915	-75.81494727159028	-377.6435194760889	-64.24286898397361	0.0017401645024908495	1.8843788020528722E-4	2.724544614372962	1850.934667506503	7707.698861958353
15000	-455.725881743134	-76.55446646925972	-379.17141527387423	-66.68304482739596	0.0010947210429989333	1.5577464432622322E-4	1.967765675226173	2214.5519673861013	11094.149763262056
20000	-452.24600555591934	-74.37418943807	-377.87181611784933	-64.68157661860958	9.293737527079079E-4	1.8806254938260288E-4	1.9752051122812728	2049.4597160742323	9504.873502458422
25000	-454.77311397728835	-75.04625915840582	-379.72685481888254	-64.08612589917975	0.0011591586654951472	2.1592341116861166E-4	2.4094124712651737	1846.1920732195815	8631.81166995285
30000	-458.1317531235474	-77.44397046963633	-380.6877826539111	-67.28374589611929	0.0015156302431349967	1.7553465895172736E-4	2.2088287227571697	2057.7268126158942	10126.714328899317
35000	-466.8492153972894	-78.97207682060429	-387.8771385766851	-65.93336617437161	6.387702347528314E-4	1.0452442340363625E-4	3.3085201818291012	2363.8488362680564	11092.627493699794
40000	-459.0003185178988	-80.15999572933273	-378.840322788566	-66.95595790801337	0.001089203638779631	1.2990825645688514E-4	3.726919054750195	2086.8744443364803	11363.798114716636
45000	-455.81143500524604	-76.8284240245338	-378.9830109807122	-65.96324036016432	5.317569289801734E-4	1.1734256040490299E-4	2.4526593610621217	2224.7521715997755	10622.612447052554
50000	-453.5225014576024	-76.33467178800316	-377.18782966959924	-64.96064340628756	0.0011378212117206154	1.5678525288248822E-4	2.801015091279618	1995.7117766715587	9431.642503381501
55000	-455.95781972538293	-78.89437964451889	-377.06344008086404	-64.01380730583011	0.0016327174366575076	2.1104546996610248E-4	3.322742101409884	1572.10591918009	7762.354290665095
60000	-451.7916607353001	-74.73883425252814	-377.052826482772	-62.994798824271186	0.001288429336660571	2.321759394350503E-4	2.8209527530107774	1856.2230964077155	7575.229451192469
65000	-454.5548110753132	-77.20088462167926	-377.3539264536339	-65.37423770797659	6.505892349953049E-4	1.5314163329518035E-4	3.0309349908900964	2108.885916001493	10257.134035351513
70000	-453.5781604977982	-73.6168227080307	-379.9613377897675	-62.69086258705198	0.0012483801036465617	2.3475574307816913E-4	1.8212343372698243	1664.7200861098447	7372.4298222543775
75000	-455.4725846228679	-78.12089057788846	-377.3516940449794	-66.53178550865996	0.0018294232412245507	1.9359229195936597E-4	2.7641935961768263	2261.4766314589606	8801.544061288252
80000	-455.617148022223	-77.8931291719027	-377.72401885032025	-66.7888183316483	8.073741838849579E-4	1.065625875509841E-4	2.655111204631861	2136.4972809435735	12156.732196861527
85000	-454.30496481605064	-73.2113781762056	-381.09358663984506	-63.160302429448166	0.0022323224574924794	3.698443521140486E-4	1.8729713511977883	1809.6753857358829	6416.008665690325
90000	-455.75456719231	-74.840353080036	-380.914214112274	-64.47248911350673	9.12078052024967E-4	1.7790372314036766E-4	2.312697364471418	2063.3875293355604	9291.100897738195
95000	-456.7390200554999	-73.01421234098773	-383.72480771451217	-63.641374728036936	6.64850165494194E-4	1.6964846639436887E-4	1.546588158555368	1814.5910136856198	7691.633591306755
100000	-451.49846822448797	-75.35015404814791	-376.1483141763401	-64.52785562261212	7.756139637198747E-4	1.7344527907916892E-4	2.531330501112978	2102.2791333989317	9325.529081473598
105000	-455.5515048038088	-80.83804425270377	-374.7134605511051	-65.12747629822852	0.001410042044547103	1.908870745947414E-4	4.928193633005348	1941.7779750649445	8946.109300314503
110000	-461.1450151737981	-76.0217509510227	-385.1232642227754	-65.37354933845373	8.14531428089035E-4	2.015682845283244E-4	1.960643455880199	2432.141276911168	10399.069559477499
115000	-453.51730485634585	-75.07971473121218	-378.4375901251337	-65.6273886357339	0.0012520239610459072	1.630304927483584E-4	1.6999279420642046	2258.862128017842	9715.019894186866
120000	-454.18081945470755	-75.25798402207228	-378.9228354326353	-63.71026086926587	0.001079007657956392	1.4528770105189348E-4	2.7597580907549824	1876.7748327904808	8393.409294928832
125000	-451.8309807994911	-76.1929665467796	-375.6380142527115	-64.38939421870758	5.674718411902096E-4	1.8488391105401378E-4	2.5632432697886967	1744.0235039793224	8097.033991972983
130000	-455.1484540393859	-76.60823762186679	-378.5402164175191	-64.00031981485218	0.0010743256985546326	1.7224172708517872E-4	3.4128467622278316	1986.411130545365	8667.597969989452
135000	-454.2861478198116	-78.61898753432067	-375.6671602854909	-65.17985733029815	7.320465023234889E-4	1.3983867693953097E-4	3.7783172638961697	1928.3358768682695	10139.417592581685
140000	-455.31967554031127	-79.76140898791182	-375.55826655239946	-63.857748539399246	9.706256514922769E-4	1.737787093946458E-4	4.4823185677561685	1706.8714509315841	8610.107288768364
145000	-456.1652015909001	-79.14588845429832	-377.0193131366018	-67.35952132084901	3.410355974137937E-4	1.3273967723271247E-4	3.0217864097724316	2041.6625640135032	10237.440866098346
150000	-456.03366199830475	-77.30271257975556	-378.7309494185492	-65.03202627669683	9.100924101903974E-4	1.2534627152310687E-4	3.2612896412958334	2027.7356184915639	9907.02797226406
155000	-457.7071184463195	-75.56973658664067	-382.13738185967884	-66.09017178476022	0.001707867484848511	1.9130403756276035E-4	1.6164094474891266	1821.8549002974987	8847.345444502678
160000	-454.7579171222978	-71.92303122419996	-382.8348858980978	-62.7590605050827	9.514477617538608E-4	2.1620371797034595E-4	1.181491962697478	1725.8112852152342	7461.107799109185
165000	-456.3603858578288	-76.87572456610832	-379.4846612917205	-67.0500270236989	0.002233422625220237	2.2069576001408075E-4	2.037747569074335	2026.3013185349607	8156.211159102626
170000	-454.824035388901	-73.70313337507388	-381.1209020138271	-62.88649921403875	0.0015282244025295211	3.062641614635969E-4	2.480081386315685	1940.7689773273771	7209.222209768794
175000	-455.3515234038722	-77.11167956147753	-378.23984384239463	-66.01265723453517	7.673922741445129E-4	1.4000066433148396E-4	2.28518324388035	2389.0157152463903	11249.211053054009
180000	-455.5569574650859	-78.26625355153584	-377.29070391355003	-65.91856282178463	0.0015433030912029	1.9216745075501375E-4	3.2379658868738117	1933.5099027210933	9154.33950835734
185000	-457.0240699959786	-78.77013991642299	-378.25393007955563	-66.66309202701704	8.44636372005739E-4	1.3535361717197445E-4	2.9900595601892923	2283.3746688845513	11898.915962440815
190000	-457.269405656322	-79.14369423839692	-378.1257114179251	-66.85769460028557	0.0011559290243854695	1.7229560874624765E-4	3.2707836015941463	2071.861284069701	11034.317043304818
195000	-459.37099631860576	-79.93198751843752	-379.4390088001682	-67.82285211765097	4.006176733806135E-4	1.1634399591540933E-4	3.0782281141776644	2221.8813348990266	13086.861410702995
200000	-453.6991206056143	-75.22433295796257	-378.47478764765174	-63.33853654235499	8.907874081260805E-4	2.6259104658213307E-4	3.03155167309035	2156.6425494632304	8028.064173264356
205000	-456.2307810260942	-78.04432019822649	-378.1864608278677	-64.9884292923886	5.804037186149209E-4	1.3503389198867675E-4	3.4867272704558796	1861.256609717754	9259.307065273024
210000	-459.08113770457305	-78.16084727897024	-380.92029042560284	-66.4850771490369	5.867705554659948E-4	1.2880051947154004E-4	2.2917955646131416	2503.1862419017953	11858.235822238732
215000	-454.28826754533316	-74.49072019987607	-379.7975473454571	-63.63095475137495	9.691773039674924E-4	2.4750303737606697E-4	2.4584220989512358	2217.542443975764	8376.641534518913
220000	-452.0537350289835	-77.8630634240073	-374.1906716049762	-63.10098101428339	0.0012379629237439013	2.2705479068664352E-4	4.383523732883025	1887.0583794965114	7711.601374927836
225000	-460.2285796565529	-75.40667232965973	-384.82190732689315	-63.88050852055517	9.015597061626383E-4	2.448633917980942E-4	2.8709398226564224	1984.6189139846858	8639.953810690497
230000	-456.3837915253713	-76.48496156142053	-379.89882996395073	-65.27728849808258	9.65952952444156E-4	1.429314973040043E-4	2.683619194684168	1948.5281252974744	10081.365812018092
235000	-453.03795766569476	-74.76297560052653	-378.2749820651682	-64.37145631982189	0.0014807965698604346	2.576317292799071E-4	2.2397179573362545	2203.861042314933	8272.611960491691
240000	-459.71835429618983	-76.14555218292492	-383.5728021132649	-65.27879054724339	8.448370533731619E-4	1.4853880856682464E-4	2.5555800049080273	2014.5790281409188	10259.796524143929
245000	-457.2516097964931	-78.96371268592797	-378.2878971105651	-66.14838888317807	7.806937627054682E-4	1.7183761975490393E-4	3.189030716771878	2367.572246685853	11407.505163694133
250000	-454.153493628233	-76.01679587477544	-378.13669775345755	-63.980027510144886	0.0016430159740858858	1.9859286225549507E-4	3.101511276130379	1952.5184247993525	7723.75556330221
255000	-455.85940397729576	-77.61970466712594	-378.2396993101698	-65.71565871417219	8.562554748043224E-4	1.3653010819238023E-4	3.0780407618913057	2027.9539915672528	10758.616779025688
260000	-454.89976058642543	-76.7026083390827	-378.19715224734273	-65.39242033367464	7.957007663570856E-4	1.27117219567229E-4	2.6385691235279745	2252.2557125429935	10433.723038899352
265000	-451.21334340049384	-75.18947918291313	-376.0238642175807	-64.49182845319842	8.950435246111867E-4	1.6508856363991502E-4	2.4276248386010257	1947.4722215430104	9321.024669332797
270000	-456.3959782533662	-73.9627670783508	-382.4332111750154	-65.21431775555365	9.012358202765917E-4	1.712836658858018E-4	1.4990517005671138	2023.3096491266858	10119.847355460382
275000	-455.69581385955155	-76.6104023638236	-379.08541149572795	-64.77775080305236	8.044399852056273E-4	1.510815097505336E-4	2.9591827807619073	2205.2115297190776	9664.906519477443
280000	-460.53416481665283	-79.1335810658696	-381.4005837507832	-66.98844474533375	9.269762153076821E-4	1.1235315200040822E-4	3.005565631779323	2285.556552544056	11995.75928513342
285000	-464.8794632282717	-77.43331124674147	-387.4461519815302	-65.8847211934511	0.0010798257345816867	1.5123813561382656E-4	2.379543895744455	1727.459875323811	10406.379447819272
290000	-460.5939355781858	-79.80399502362727	-380.7899405545585	-67.67555524950807	9.366384485933099E-4	1.1529673512990136E-4	3.192837417670441	2044.7330709191647	12694.171994371982
295000	-454.76560556826746	-74.10050645542614	-380.6650991128413	-64.17433713247297	7.918575432848591E-4	2.1146812901092114E-4	2.087174001052719	2020.5481919369838	8897.187097444059
