concept,lang_a,lang_b,ls_cogid_a,ls_cogid_b,sv_cogid_a,sv_cogid_b,verdict
I,Azerbaijani,Chuvash,1.0,2.0,307,307,DISAGREE_SV_ONLY
I,Azerbaijani,Kazakh,1.0,1.0,307,307,AGREE_COGNATE
I,Azerbaijani,Kyrgyz,1.0,4.0,307,308,AGREE_NON
I,Azerbaijani,Turkish,1.0,1.0,307,307,AGREE_COGNATE
I,Azerbaijani,Turkmen,1.0,1.0,307,307,AGREE_COGNATE
I,Azerbaijani,Uyghur,1.0,4.0,307,308,AGREE_NON
I,Azerbaijani,Uzbek,1.0,1.0,307,307,AGREE_COGNATE
I,Azerbaijani,Yakut,1.0,9.0,307,307,DISAGREE_SV_ONLY
I,Chuvash,Kazakh,2.0,1.0,307,307,DISAGREE_SV_ONLY
I,Chuvash,Kyrgyz,2.0,4.0,307,308,AGREE_NON
I,Chuvash,Turkish,2.0,1.0,307,307,DISAGREE_SV_ONLY
I,Chuvash,Turkmen,2.0,1.0,307,307,DISAGREE_SV_ONLY
I,Chuvash,Uyghur,2.0,4.0,307,308,AGREE_NON
I,Chuvash,Uzbek,2.0,1.0,307,307,DISAGREE_SV_ONLY
I,Chuvash,Yakut,2.0,9.0,307,307,DISAGREE_SV_ONLY
I,Kazakh,Kyrgyz,1.0,4.0,307,308,AGREE_NON
I,Kazakh,Turkish,1.0,1.0,307,307,AGREE_COGNATE
I,Kazakh,Turkmen,1.0,1.0,307,307,AGREE_COGNATE
I,Kazakh,Uyghur,1.0,4.0,307,308,AGREE_NON
I,Kazakh,Uzbek,1.0,1.0,307,307,AGREE_COGNATE
I,Kazakh,Yakut,1.0,9.0,307,307,DISAGREE_SV_ONLY
I,Kyrgyz,Turkish,4.0,1.0,308,307,AGREE_NON
I,Kyrgyz,Turkmen,4.0,1.0,308,307,AGREE_NON
I,Kyrgyz,Uyghur,4.0,4.0,308,308,AGREE_COGNATE
I,Kyrgyz,Uzbek,4.0,1.0,308,307,AGREE_NON
I,Kyrgyz,Yakut,4.0,9.0,308,307,AGREE_NON
I,Turkish,Turkmen,1.0,1.0,307,307,AGREE_COGNATE
I,Turkish,Uyghur,1.0,4.0,307,308,AGREE_NON
I,Turkish,Uzbek,1.0,1.0,307,307,AGREE_COGNATE
I,Turkish,Yakut,1.0,9.0,307,307,DISAGREE_SV_ONLY
I,Turkmen,Uyghur,1.0,4.0,307,308,AGREE_NON
I,Turkmen,Uzbek,1.0,1.0,307,307,AGREE_COGNATE
I,Turkmen,Yakut,1.0,9.0,307,307,DISAGREE_SV_ONLY
I,Uyghur,Uzbek,4.0,1.0,308,307,AGREE_NON
I,Uyghur,Yakut,4.0,9.0,308,307,AGREE_NON
I,Uzbek,Yakut,1.0,9.0,307,307,DISAGREE_SV_ONLY
all,Azerbaijani,Chuvash,10.0,11.0,665,665,DISAGREE_SV_ONLY
all,Azerbaijani,Kazakh,10.0,12.0,665,663,AGREE_NON
all,Azerbaijani,Kyrgyz,10.0,13.0,665,663,AGREE_NON
all,Azerbaijani,Turkish,10.0,10.0,665,665,AGREE_COGNATE
all,Azerbaijani,Turkmen,10.0,15.0,665,663,AGREE_NON
all,Azerbaijani,Uyghur,10.0,16.0,665,666,AGREE_NON
all,Azerbaijani,Uzbek,10.0,17.0,665,527,AGREE_NON
all,Azerbaijani,Yakut,10.0,10.0,665,664,DISAGREE_LS_ONLY
all,Chuvash,Kazakh,11.0,12.0,665,663,AGREE_NON
all,Chuvash,Kyrgyz,11.0,13.0,665,663,AGREE_NON
all,Chuvash,Turkish,11.0,10.0,665,665,DISAGREE_SV_ONLY
all,Chuvash,Turkmen,11.0,15.0,665,663,AGREE_NON
all,Chuvash,Uyghur,11.0,16.0,665,666,AGREE_NON
all,Chuvash,Uzbek,11.0,17.0,665,527,AGREE_NON
all,Chuvash,Yakut,11.0,10.0,665,664,AGREE_NON
all,Kazakh,Kyrgyz,12.0,13.0,663,663,DISAGREE_SV_ONLY
all,Kazakh,Turkish,12.0,10.0,663,665,AGREE_NON
all,Kazakh,Turkmen,12.0,15.0,663,663,DISAGREE_SV_ONLY
