ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
1	Azerbaijani	I	d ɯ r n a ɢ	dɯrnaɢ	1 7 5 4 7 1	AXMBYN	TIRNAK	1	1.T.C 1.I.V 1.R.c 1.N.C 1.A.V 1.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
2	Chuvash	I	tɕ ĭ r n e	ʨɘrne	2 7 5 4 7	AXMBZ	CIRNE	2	2.C.C 2.I.V 2.R.c 2.N.C 2.E.V	2.0 1.5 1.1 1.75 0.8	0	2
3	Kazakh	I	t ɯ r n a q	tɯrnaq	1 7 5 4 7 1	AXMBYN	TIRNAK	3	3.T.C 3.I.V 3.R.c 3.N.C 3.A.V 3.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
4	Turkish	I	t ɯ r n a k	tɯrnak	1 7 5 4 7 1	AXMBYN	TIRNAK	5	5.T.C 5.I.V 5.R.c 5.N.C 5.A.V 5.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
5	Turkmen	I	d ɯ r n a q	dɯrnaq	1 7 5 4 7 1	AXMBYN	TIRNAK	6	6.T.C 6.I.V 6.R.c 6.N.C 6.A.V 6.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
6	Uzbek	I	t i r n ɔ q	tirnɔq	1 7 5 4 7 1	AXMBYN	TIRNUK	8	8.T.C 8.I.V 8.R.c 8.N.C 8.U.V 8.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
7	Yakut	I	t ɯ ŋ ɯ r a χ	tɯŋɯraχ	1 7 4 7 5 7 3	AXBYBYN	TINIRAG	9	9.T.C 9.I.V 9.N.C 9.I.V 9.R.C 9.A.V 9.G.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	9
8	Kyrgyz	I	t ɯ r m a q	tɯrmaq	1 7 5 4 7 1	AXMBYN	TIRMAK	4	4.T.C 4.I.V 4.R.c 4.M.C 4.A.V 4.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	4
9	Uyghur	I	t i r m a q	tirmaq	1 7 5 4 7 1	AXMBYN	TIRMAK	7	7.T.C 7.I.V 7.R.c 7.M.C 7.A.V 7.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	4
119	Kazakh	all	ʒ ɯ ɣ ɯ l	? ʒɯɣɯl	3 7 3 7 5	AXBYN	SIGIL	3	3.S.C 3.I.V 3.G.C 3.I.V 3.L.c	2.0 1.5 1.75 1.3 0.8	0	12
120	Kyrgyz	all	ʥ ɯ ɣ ɯ l	ʥɯɣɯl	2 7 3 7 5	AXBYN	CIGIL	4	4.C.C 4.I.V 4.G.C 4.I.V 4.L.c	2.0 1.5 1.75 1.3 0.8	0	13
