ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
1	Azerbaijani	I	d ɯ r n a ɢ	dɯrnaɢ	1 7 5 4 7 1	AXMBYN	TIRNAK	1	1.T.C 1.I.V 1.R.c 1.N.C 1.A.V 1.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
2	Chuvash	I	tɕ ĭ r n e	ʨɘrne	2 7 5 4 7	AXMBZ	CIRNE	2	2.C.C 2.I.V 2.R.c 2.N.C 2.E.V	2.0 1.5 1.1 1.75 0.8	0	1
3	Kazakh	I	t ɯ r n a q	tɯrnaq	1 7 5 4 7 1	AXMBYN	TIRNAK	3	3.T.C 3.I.V 3.R.c 3.N.C 3.A.V 3.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
4	Turkish	I	t ɯ r n a k	tɯrnak	1 7 5 4 7 1	AXMBYN	TIRNAK	5	5.T.C 5.I.V 5.R.c 5.N.C 5.A.V 5.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
5	Turkmen	I	d ɯ r n a q	dɯrnaq	1 7 5 4 7 1	AXMBYN	TIRNAK	6	6.T.C 6.I.V 6.R.c 6.N.C 6.A.V 6.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
6	Uzbek	I	t i r n ɔ q	tirnɔq	1 7 5 4 7 1	AXMBYN	TIRNUK	8	8.T.C 8.I.V 8.R.c 8.N.C 8.U.V 8.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1
7	Yakut	I	t ɯ ŋ ɯ r a χ	tɯŋɯraχ	1 7 4 7 5 7 3	AXBYBYN	TINIRAG	9	9.T.C 9.I.V 9.N.C 9.I.V 9.R.C 9.A.V 9.G.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	1
8	Kyrgyz	I	t ɯ r m a q	tɯrmaq	1 7 5 4 7 1	AXMBYN	TIRMAK	4	4.T.C 4.I.V 4.R.c 4.M.C 4.A.V 4.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	4
9	Uyghur	I	t i r m a q	tirmaq	1 7 5 4 7 1	AXMBYN	TIRMAK	7	7.T.C 7.I.V 7.R.c 7.M.C 7.A.V 7.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	4
1075	Turkish	a little	b i ɾ a z	biɾaz	1 7 5 7 3	AXBYN	PIRAS	5	5.P.C 5.I.V 5.R.C 5.A.V 5.S.c	2.0 1.5 1.75 1.3 0.8	0	5
2184	Azerbaijani	a little	b ɪ r + ɑ z	bɪr_ɑz	1 7 5 9 7 3	AXN_XN	PIR_AS	1	1.P.C 1.I.V 1.R.c 1._._ 1.A.V 1.S.c	2.0 1.5 0.8 0.0 1.5 0.8	0	5
3168	Uzbek	a little	b i r ɒ z	birɒz	1 7 5 7 3	AXBYN	PIROS	8	8.P.C 8.I.V 8.R.C 8.O.V 8.S.c	2.0 1.5 1.75 1.3 0.8	0	5
4268	Kazakh	a little	ɑ z ə ɾ ɑ q	ɑzəɾɑq	7 3 7 5 7 1	XBYBYN	ASERAK	3	3.A.V 3.S.C 3.E.V 3.R.C 3.A.V 3.K.c	1.5 1.75 1.3 1.75 1.3 0.8	0	5
4269	Kazakh	a little	ɑ z d ɑ ʁ ɑ n	ɑzdɑʁɑn	7 3 1 7 5 7 4	XMBYBYN	ASTARAN	3	3.A.V 3.S.c 3.T.C 3.A.V 3.R.C 3.A.V 3.N.c	1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	5
4270	Kazakh	a little	ɑ z ʁ ɑ n t ɑ j	ɑzʁɑntɑj	7 3 5 7 4 1 7 6	XBCYMBYN	ASRANTAJ	3	3.A.V 3.S.C 3.R.C 3.A.V 3.N.c 3.T.C 3.A.V 3.J.c	1.5 1.75 1.5 1.3 1.1 1.75 1.3 0.8	0	5
