lang_a,lang_b,phoneme_a,phoneme_b,gloss,cogset_id,position
Azerbaijani,Chuvash,d,tɕ,?,1,0
Azerbaijani,Kazakh,d,t,?,1,0
Azerbaijani,Turkish,d,t,?,1,0
Azerbaijani,Turkmen,d,d,?,1,0
Azerbaijani,Uzbek,d,t,?,1,0
Azerbaijani,Yakut,d,t,?,1,0
Chuvash,Kazakh,tɕ,t,?,1,0
Chuvash,Turkish,tɕ,t,?,1,0
Chuvash,Turkmen,tɕ,d,?,1,0
Chuvash,Uzbek,tɕ,t,?,1,0
Chuvash,Yakut,tɕ,t,?,1,0
Kazakh,Turkish,t,t,?,1,0
Kazakh,Turkmen,t,d,?,1,0
Kazakh,Uzbek,t,t,?,1,0
Kazakh,Yakut,t,t,?,1,0
Turkish,Turkmen,t,d,?,1,0
Turkish,Uzbek,t,t,?,1,0
Turkish,Yakut,t,t,?,1,0
Turkmen,Uzbek,d,t,?,1,0
Turkmen,Yakut,d,t,?,1,0
Uzbek,Yakut,t,t,?,1,0
Azerbaijani,Chuvash,ɯ,ĭ,?,1,1
Azerbaijani,Kazakh,ɯ,ɯ,?,1,1
Azerbaijani,Turkish,ɯ,ɯ,?,1,1
Azerbaijani,Turkmen,ɯ,ɯ,?,1,1
Azerbaijani,Uzbek,ɯ,i,?,1,1
Azerbaijani,Yakut,ɯ,ɯ,?,1,1
Chuvash,Kazakh,ĭ,ɯ,?,1,1
Chuvash,Turkish,ĭ,ɯ,?,1,1
Chuvash,Turkmen,ĭ,ɯ,?,1,1
Chuvash,Uzbek,ĭ,i,?,1,1
Chuvash,Yakut,ĭ,ɯ,?,1,1
Kazakh,Turkish,ɯ,ɯ,?,1,1
Kazakh,Turkmen,ɯ,ɯ,?,1,1
Kazakh,Uzbek,ɯ,i,?,1,1
Kazakh,Yakut,ɯ,ɯ,?,1,1
Turkish,Turkmen,ɯ,ɯ,?,1,1
Turkish,Uzbek,ɯ,i,?,1,1
Turkish,Yakut,ɯ,ɯ,?,1,1
Turkmen,Uzbek,ɯ,i,?,1,1
Turkmen,Yakut,ɯ,ɯ,?,1,1
Uzbek,Yakut,i,ɯ,?,1,1
Azerbaijani,Chuvash,r,r,?,1,2
Azerbaijani,Kazakh,r,r,?,1,2
Azerbaijani,Turkish,r,r,?,1,2
Azerbaijani,Turkmen,r,r,?,1,2
Azerbaijani,Uzbek,r,r,?,1,2
Azerbaijani,Yakut,r,-,?,1,2
Chuvash,Kazakh,r,r,?,1,2
Chuvash,Turkish,r,r,?,1,2
Chuvash,Turkmen,r,r,?,1,2
Chuvash,Uzbek,r,r,?,1,2
Chuvash,Yakut,r,-,?,1,2
Kazakh,Turkish,r,r,?,1,2
Kazakh,Turkmen,r,r,?,1,2
Kazakh,Uzbek,r,r,?,1,2
Kazakh,Yakut,r,-,?,1,2
Turkish,Turkmen,r,r,?,1,2
Turkish,Uzbek,r,r,?,1,2
Turkish,Yakut,r,-,?,1,2
Turkmen,Uzbek,r,r,?,1,2
Turkmen,Yakut,r,-,?,1,2
Uzbek,Yakut,r,-,?,1,2
Azerbaijani,Chuvash,n,n,?,1,3
Azerbaijani,Kazakh,n,n,?,1,3
Azerbaijani,Turkish,n,n,?,1,3
Azerbaijani,Turkmen,n,n,?,1,3
Azerbaijani,Uzbek,n,n,?,1,3
Azerbaijani,Yakut,n,ŋ,?,1,3
Chuvash,Kazakh,n,n,?,1,3
Chuvash,Turkish,n,n,?,1,3
Chuvash,Turkmen,n,n,?,1,3
Chuvash,Uzbek,n,n,?,1,3
Chuvash,Yakut,n,ŋ,?,1,3
Kazakh,Turkish,n,n,?,1,3
Kazakh,Turkmen,n,n,?,1,3
Kazakh,Uzbek,n,n,?,1,3
Kazakh,Yakut,n,ŋ,?,1,3
Turkish,Turkmen,n,n,?,1,3
Turkish,Uzbek,n,n,?,1,3
