lang_a,lang_b,phoneme_a,top_reflex,top_prob,total_count,entropy,all_reflexes
Azerbaijani,Chuvash,-,e,1.0,1,-0.0,e:1
Azerbaijani,Chuvash,a,u,0.333,3,1.585,"u:1, a:1, y:1"
Azerbaijani,Chuvash,b,b,0.5,2,1.0,"b:1, p:1"
Azerbaijani,Chuvash,d,t,1.0,1,-0.0,t:1
Azerbaijani,Chuvash,e,i,1.0,1,-0.0,i:1
Azerbaijani,Chuvash,gʲ,k,1.0,1,-0.0,k:1
Azerbaijani,Chuvash,i,ĭ,0.6,5,0.971,"ĭ:3, i:2"
Azerbaijani,Chuvash,j,ɕ,1.0,2,-0.0,ɕ:2
Azerbaijani,Chuvash,k,-,0.5,2,1.0,"-:1, k:1"
Azerbaijani,Chuvash,m,m,1.0,2,-0.0,m:2
Azerbaijani,Chuvash,r,r,1.0,4,-0.0,r:4
Azerbaijani,Chuvash,s,z,0.333,3,1.585,"z:1, ʃ:1, ɕ:1"
Azerbaijani,Chuvash,t,d,1.0,1,-0.0,d:1
Azerbaijani,Chuvash,tɕ,ɕ,1.0,1,-0.0,ɕ:1
Azerbaijani,Chuvash,u,ŏ,0.5,2,1.0,"ŏ:1, a:1"
Azerbaijani,Chuvash,y,ŏ,1.0,2,-0.0,ŏ:2
Azerbaijani,Chuvash,z,r,1.0,1,-0.0,r:1
Azerbaijani,Chuvash,æ,i,1.0,1,-0.0,i:1
Azerbaijani,Chuvash,ø,u,1.0,1,-0.0,u:1
Azerbaijani,Chuvash,ɢ,χ,0.5,2,1.0,"χ:1, -:1"
Azerbaijani,Chuvash,ɯ,ə,1.0,1,-0.0,ə:1
Azerbaijani,Kazakh,-,s,0.25,4,2.0,"s:1, ĭ:1, d:1, l:1"
Azerbaijani,Kazakh,a,a,1.0,6,-0.0,a:6
Azerbaijani,Kazakh,b,b,1.0,6,-0.0,b:6
Azerbaijani,Kazakh,d,t,1.0,2,-0.0,t:2
Azerbaijani,Kazakh,e,e,1.0,1,-0.0,e:1
Azerbaijani,Kazakh,gʲ,k,1.0,1,-0.0,k:1
Azerbaijani,Kazakh,i,ĭ,0.5,8,1.5,"ĭ:4, e:2, i:2"
Azerbaijani,Kazakh,j,ʒ,1.0,1,-0.0,ʒ:1
Azerbaijani,Kazakh,k,k,1.0,2,-0.0,k:2
Azerbaijani,Kazakh,l,l,1.0,2,-0.0,l:2
Azerbaijani,Kazakh,n,n,1.0,4,-0.0,n:4
Azerbaijani,Kazakh,r,r,1.0,4,-0.0,r:4
Azerbaijani,Kazakh,s,z,0.5,2,1.0,"z:1, ʃ:1"
Azerbaijani,Kazakh,t,t,1.0,3,-0.0,t:3
Azerbaijani,Kazakh,tɕ,ʃ,1.0,1,-0.0,ʃ:1
Azerbaijani,Kazakh,u,u,0.8,5,0.722,"u:4, ɯ:1"
Azerbaijani,Kazakh,z,z,0.75,4,0.811,"z:3, r:1"
Azerbaijani,Kazakh,æ,e,1.0,3,-0.0,e:3
Azerbaijani,Kazakh,ø,ø,1.0,2,-0.0,ø:2
Azerbaijani,Kazakh,ɢ,q,1.0,8,-0.0,q:8
Azerbaijani,Kazakh,ɯ,ɯ,1.0,3,-0.0,ɯ:3
Azerbaijani,Kazakh,ʃ,s,1.0,1,-0.0,s:1
Azerbaijani,Kyrgyz,a,a,1.0,5,-0.0,a:5
Azerbaijani,Kyrgyz,b,b,1.0,6,-0.0,b:6
Azerbaijani,Kyrgyz,d,d,0.5,2,1.0,"d:1, t:1"
Azerbaijani,Kyrgyz,e,e,1.0,1,-0.0,e:1
Azerbaijani,Kyrgyz,gʲ,k,1.0,1,-0.0,k:1
Azerbaijani,Kyrgyz,i,i,0.857,7,0.592,"i:6, e:1"
Azerbaijani,Kyrgyz,j,ʥ,1.0,1,-0.0,ʥ:1
Azerbaijani,Kyrgyz,k,k,1.0,2,-0.0,k:2
Azerbaijani,Kyrgyz,l,l,1.0,2,-0.0,l:2
Azerbaijani,Kyrgyz,n,n,1.0,2,-0.0,n:2
Azerbaijani,Kyrgyz,r,r,1.0,3,-0.0,r:3
Azerbaijani,Kyrgyz,t,t,1.0,3,-0.0,t:3
Azerbaijani,Kyrgyz,u,u,1.0,4,-0.0,u:4
Azerbaijani,Kyrgyz,z,z,1.0,3,-0.0,z:3
Azerbaijani,Kyrgyz,æ,e,1.0,2,-0.0,e:2
Azerbaijani,Kyrgyz,ø,ø,1.0,2,-0.0,ø:2
Azerbaijani,Kyrgyz,ɢ,q,1.0,6,-0.0,q:6
Azerbaijani,Kyrgyz,ɯ,ɯ,1.0,2,-0.0,ɯ:2
Azerbaijani,Turkish,a,a,1.0,10,-0.0,a:10
Azerbaijani,Turkish,b,b,1.0,6,-0.0,b:6
Azerbaijani,Turkish,d,d,0.6,5,0.971,"d:3, t:2"
Azerbaijani,Turkish,e,e,1.0,1,-0.0,e:1
Azerbaijani,Turkish,gʲ,g,1.0,1,-0.0,g:1
Azerbaijani,Turkish,i,i,0.778,9,0.764,"i:7, y:2"
Azerbaijani,Turkish,j,j,1.0,3,-0.0,j:3
Azerbaijani,Turkish,k,k,0.833,6,0.65,"k:5, g:1"
Azerbaijani,Turkish,l,l,1.0,3,-0.0,l:3
Azerbaijani,Turkish,m,m,1.0,1,-0.0,m:1
Azerbaijani,Turkish,n,n,1.0,6,-0.0,n:6
Azerbaijani,Turkish,r,r,1.0,6,-0.0,r:6
Azerbaijani,Turkish,s,s,1.0,2,-0.0,s:2
Azerbaijani,Turkish,t,t,1.0,3,-0.0,t:3
Azerbaijani,Turkish,tɕ,tɕ,1.0,2,-0.0,tɕ:2
Azerbaijani,Turkish,u,u,1.0,9,-0.0,u:9
Azerbaijani,Turkish,y,y,1.0,1,-0.0,y:1
Azerbaijani,Turkish,z,z,1.0,4,-0.0,z:4
Azerbaijani,Turkish,æ,e,1.0,3,-0.0,e:3
Azerbaijani,Turkish,ø,ø,1.0,3,-0.0,ø:3
Azerbaijani,Turkish,ɢ,k,0.909,11,0.439,"k:10, q:1"
Azerbaijani,Turkish,ɯ,ɯ,0.8,5,0.722,"ɯ:4, u:1"
Azerbaijani,Turkish,ʃ,ʃ,1.0,2,-0.0,ʃ:2
Azerbaijani,Turkmen,-,m,0.5,2,1.0,"m:1, e:1"
Azerbaijani,Turkmen,a,a,0.875,8,0.544,"a:7, aː:1"
Azerbaijani,Turkmen,b,b,1.0,6,-0.0,b:6
Azerbaijani,Turkmen,d,d,1.0,3,-0.0,d:3
Azerbaijani,Turkmen,gʲ,g,1.0,1,-0.0,g:1
Azerbaijani,Turkmen,i,i,1.0,8,-0.0,i:8
Azerbaijani,Turkmen,k,k,0.75,4,0.811,"k:3, g:1"
Azerbaijani,Turkmen,l,l,1.0,3,-0.0,l:3
Azerbaijani,Turkmen,n,n,1.0,5,-0.0,n:5
Azerbaijani,Turkmen,r,r,1.0,4,-0.0,r:4
