language,gloss,task3_score,clearance_reason
Chuvash,all,-1.4483,Chuvash within-group normal or Bulgar phonology
Chuvash,already,-1.1872,Chuvash within-group normal or Bulgar phonology
Chuvash,bitter,-1.1916,Chuvash within-group normal or Bulgar phonology
Chuvash,boy,-1.2353,Chuvash within-group normal or Bulgar phonology
Chuvash,breast,-1.1875,Chuvash within-group normal or Bulgar phonology
Chuvash,child,-1.2353,Chuvash within-group normal or Bulgar phonology
Chuvash,cow,-1.1883,Chuvash within-group normal or Bulgar phonology
Chuvash,decay,-1.2233,Chuvash within-group normal or Bulgar phonology
Chuvash,decrease,-1.205,Chuvash within-group normal or Bulgar phonology
Chuvash,drink,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,"drop, descend",-1.205,Chuvash within-group normal or Bulgar phonology
Chuvash,earth,-1.2233,Chuvash within-group normal or Bulgar phonology
Chuvash,elbow,-1.1874,Chuvash within-group normal or Bulgar phonology
Chuvash,end,-1.2202,Chuvash within-group normal or Bulgar phonology
Chuvash,feel,-1.2587,Chuvash within-group normal or Bulgar phonology
Chuvash,flower,-1.2639,Chuvash within-group normal or Bulgar phonology
Chuvash,fly,-1.2202,Chuvash within-group normal or Bulgar phonology
Chuvash,grow,-1.2682,Chuvash within-group normal or Bulgar phonology
Chuvash,knife,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,living,-1.3483,Chuvash within-group normal or Bulgar phonology
Chuvash,matter,-1.3717,Chuvash within-group normal or Bulgar phonology
Chuvash,memory,-1.2394,Chuvash within-group normal or Bulgar phonology
Chuvash,or,-1.2465,Chuvash within-group normal or Bulgar phonology
Chuvash,pointed,-1.1909,Chuvash within-group normal or Bulgar phonology
Chuvash,raw,-1.3483,Chuvash within-group normal or Bulgar phonology
Chuvash,ribbon,-1.1903,Chuvash within-group normal or Bulgar phonology
Chuvash,ring,-1.3038,Chuvash within-group normal or Bulgar phonology
Chuvash,rot,-1.2233,Chuvash within-group normal or Bulgar phonology
