language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag,domain
Kazakh,wish,mʊdːe,m ʊ dː e,A_kipchak,northeuralex,-2.2809,-2.2809,True,True,unknown,False,cognitive_abstract
Kazakh,feather,ʒe,ʒ e,A_kipchak,lexstat,-1.4027,-1.4027,True,True,unknown,False,fauna
Kazakh,three,ʊʃ,ʊ ʃ,A_kipchak,northeuralex,-1.2697,-1.2697,True,True,unknown,False,other
Uzbek,flesh,ɡoʃt,g o ʃ t,A_kipchak,lexstat,-1.2322,-1.2322,True,True,unknown,False,other
Kazakh,woman,bɪjke,b ɪ j k e,A_kipchak,lexstat,-1.2314,-1.2314,True,True,unknown,False,kinship
Uzbek,seven,ɛtːi,ɛ tː i,A_kipchak,northeuralex,-1.2267,-1.2267,True,True,unknown,False,other
Uzbek,tree,daraχt,d a r a χ t,A_kipchak,lexstat,-1.218,-1.218,True,True,unknown,False,flora
Kazakh,collar,ʒɑʁɑ,ʒ ɑ ʁ ɑ,A_kipchak,northeuralex,-1.2069,-1.2069,True,True,unknown,False,material_culture
Kazakh,flower,ɡʊl,g ʊ l,A_kipchak,northeuralex,-1.1981,-1.1981,True,True,unknown,False,flora
Kazakh,wood,ɑʁɑʃ,ɑ ʁ ɑ ʃ,A_kipchak,northeuralex,-1.1957,-1.1957,True,True,unknown,False,other
Kazakh,tip,ʉʃə,ʉ ʃ ə,A_kipchak,northeuralex,-1.1883,-1.1883,True,True,unknown,False,spatial_temporal
Kazakh,war,soʁəs,s o ʁ ə s,A_kipchak,northeuralex,-1.1769,-1.1769,True,True,unknown,False,social_political
Kazakh,cave,ʊŋɡəɾ,ʊ ŋ g ə ɾ,A_kipchak,northeuralex,-1.1714,-1.1714,True,True,unknown,False,natural_world
Uzbek,big,bujuk,b u j u k,A_kipchak,lexstat,-1.1705,-1.1705,True,True,unknown,False,other
Kazakh,towel,sʊlɡə,s ʊ l g ə,A_kipchak,northeuralex,-1.1685,-1.1685,True,True,unknown,False,material_culture
Uzbek,egg,tuχum,t u χ u m,A_kipchak,lexstat,-1.1666,-1.1666,True,True,unknown,False,fauna
Kazakh,ski,ʃɑŋʁə,ʃ ɑ ŋ ʁ ə,A_kipchak,northeuralex,-1.1647,-1.1647,True,True,unknown,False,material_culture
Kazakh,already,tʊɡe,t ʊ g e,A_kipchak,northeuralex,-1.1619,-1.1619,True,True,unknown,False,other
Kazakh,brook,ʒəlʁɑ,ʒ ə l ʁ ɑ,A_kipchak,northeuralex,-1.1618,-1.1618,True,True,unknown,False,natural_world
Kazakh,broom,səpəɾʁəʃ,s ə p ə ɾ ʁ ə ʃ,A_kipchak,northeuralex,-1.1579,-1.1579,True,True,unknown,False,material_culture
Kazakh,coast,ʒɪjeɡə,ʒ ɪ j e g ə,A_kipchak,northeuralex,-1.1534,-1.1534,True,True,unknown,False,natural_world
Kazakh,walk,ʒʊɾəs,ʒ ʊ ɾ ə s,A_kipchak,northeuralex,-1.1526,-1.1526,True,True,unknown,False,verbs_actions
Kazakh,thread,ʒəp,ʒ ə p,A_kipchak,northeuralex,-1.1509,-1.1509,True,True,unknown,False,material_culture
Kazakh,string,ʒəp,ʒ ə p,A_kipchak,northeuralex,-1.1509,-1.1509,True,True,unknown,False,material_culture
Kazakh,light,ʃʉʁəlɑ,ʃ ʉ ʁ ə l ɑ,A_kipchak,northeuralex,-1.1501,-1.1501,True,True,unknown,False,natural_world
Kazakh,above,ʒoʁɑɾədɑ,ʒ o ʁ ɑ ɾ ə d ɑ,A_kipchak,northeuralex,-1.1497,-1.1497,True,True,unknown,False,other
Kazakh,worker,ʒʊməsʃə,ʒ ʊ m ə s ʃ ə,A_kipchak,northeuralex,-1.1423,-1.1423,True,True,unknown,False,social_political
Kazakh,warm,ʒələ,ʒ ə l ə,A_kipchak,northeuralex,-1.1415,-1.1415,True,True,unknown,False,body_parts
Kazakh,elk,bʉʁə,b ʉ ʁ ə,A_kipchak,northeuralex,-1.1409,-1.1409,True,True,unknown,False,fauna
Kazakh,third,ʊʃənʃə,ʊ ʃ ə n ʃ ə,A_kipchak,northeuralex,-1.1403,-1.1403,True,True,unknown,False,other
Kazakh,nail,ʃeɡe,ʃ e g e,A_kipchak,northeuralex,-1.1389,-1.1389,True,True,unknown,False,body_parts
Uzbek,empty,put͡ʃ,p u tʃ,A_kipchak,northeuralex,-1.1379,-1.1379,True,True,unknown,False,other
Kazakh,song,ʒəɾ,ʒ ə ɾ,A_kipchak,northeuralex,-1.1346,-1.1346,True,True,unknown,False,kinship
Kazakh,hungry,ɑʃ,ɑ ʃ,A_kipchak,northeuralex,-1.1336,-1.1336,True,True,unknown,False,other
Uzbek,that,o(ʃa),o,A_kipchak,savelyev,-1.133,-1.133,True,True,unknown,False,other
Kazakh,dense,ʒɪjə,ʒ ɪ j ə,A_kipchak,northeuralex,-1.1313,-1.1313,True,True,unknown,False,other
Kazakh,box,ʒæʃək,ʒ æ ʃ ə k,A_kipchak,northeuralex,-1.13,-1.13,True,True,unknown,False,material_culture
Kazakh,strength,kʊʃ,k ʊ ʃ,A_kipchak,northeuralex,-1.1297,-1.1297,True,True,unknown,False,other
Uzbek,odour,d͡ʒid,dʒ i d,A_kipchak,northeuralex,-1.1274,-1.1274,True,True,unknown,False,body_parts
Kazakh,fork,ɑʃɑ,ɑ ʃ ɑ,A_kipchak,northeuralex,-1.1262,-1.1262,True,True,unknown,False,material_culture
Kazakh,grandmother,æʒe,æ ʒ e,A_kipchak,northeuralex,-1.1257,-1.1257,True,True,unknown,False,kinship
Kazakh,fir,ʃəɾʃɑ,ʃ ə ɾ ʃ ɑ,A_kipchak,northeuralex,-1.1252,-1.1252,True,True,unknown,False,flora
Kazakh,thither,æɾə,æ ɾ ə,A_kipchak,northeuralex,-1.1249,-1.1249,True,True,unknown,False,other
