gloss,n_languages,all_languages,domain,language,form,ipa_tokens,group,adjusted_score,loan_class,thin_lang_flag
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Kazakh,ʊʃ,ʊ ʃ,A_kipchak,-1.2697,unknown,False
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Uzbek,ut͡ʃ,u tʃ,A_kipchak,-1.0962,unknown,False
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Turkish,yt͡ʃ,y tʃ,A_oghuz,-1.1904,unknown,False
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Azerbaijani,yt͡ʃ,y tʃ,A_oghuz,-1.1382,unknown,False
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Chuvash,ʋiɕ̬ɘ,ʋ i ɕ ɘ,C_chuvash,-1.2023,unknown,False
three,5,Azerbaijani; Chuvash; Kazakh; Turkish; Uzbek,other,Chuvash,ˈʋiɕɘ,ʋ i ɕ ɘ,C_chuvash,-1.2023,unknown,False
all,4,Azerbaijani; Kazakh; Turkish; Uzbek,cognitive_abstract,Kazakh,? ʒɯɣɯl,ʒ ɯ ɣ ɯ l,A_kipchak,-1.1195,mongolic_candidate,False
all,4,Azerbaijani; Kazakh; Turkish; Uzbek,cognitive_abstract,Uzbek,jiqil,j i q i l,A_kipchak,-1.1056,unknown,False
all,4,Azerbaijani; Kazakh; Turkish; Uzbek,cognitive_abstract,Azerbaijani,dyʃ,d y ʃ,A_oghuz,-1.241,unknown,False
all,4,Azerbaijani; Kazakh; Turkish; Uzbek,cognitive_abstract,Turkish,dyʃ,d y ʃ,A_oghuz,-1.1659,unknown,False
milk,4,Azerbaijani; Chuvash; Kazakh; Turkish,herding_pastoralism,Kazakh,sʊt,s ʊ t,A_kipchak,-1.076,unknown,False
milk,4,Azerbaijani; Chuvash; Kazakh; Turkish,herding_pastoralism,Turkish,syt,s y t,A_oghuz,-0.9387,unknown,False
milk,4,Azerbaijani; Chuvash; Kazakh; Turkish,herding_pastoralism,Azerbaijani,syd,s y d,A_oghuz,-0.9124,unknown,False
milk,4,Azerbaijani; Chuvash; Kazakh; Turkish,herding_pastoralism,Chuvash,sɘt,s ɘ t,C_chuvash,-1.2481,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Uzbek,ɛtːi,ɛ tː i,A_kipchak,-1.2267,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Kazakh,ʒetə,ʒ e t ə,A_kipchak,-1.0867,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Azerbaijani,jɛdːɪ,j ɛ dː ɪ,A_oghuz,-0.9149,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Chuvash,ˈɕit͡ɕɘ,ɕ i tɕ ɘ,C_chuvash,-1.317,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Chuvash,ˈɕit͡ɕɘ,ɕ i tɕ ɘ,C_chuvash,-1.317,unknown,False
seven,4,Azerbaijani; Chuvash; Kazakh; Uzbek,other,Chuvash,ɕit͡ɕ,ɕ i tɕ,C_chuvash,-1.241,unknown,False
third,4,Azerbaijani; Chuvash; Kazakh; Turkish,other,Kazakh,ʊʃənʃə,ʊ ʃ ə n ʃ ə,A_kipchak,-1.1403,unknown,False
third,4,Azerbaijani; Chuvash; Kazakh; Turkish,other,Turkish,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,-1.1082,unknown,False
third,4,Azerbaijani; Chuvash; Kazakh; Turkish,other,Azerbaijani,yt͡ʃynd͡ʒy,y tʃ y n dʒ y,A_oghuz,-1.0656,unknown,False
third,4,Azerbaijani; Chuvash; Kazakh; Turkish,other,Chuvash,ˈʋiɕɘmɘʂ,ʋ i ɕ ɘ m ɘ ʂ,C_chuvash,-1.2029,unknown,False
tip,4,Azerbaijani; Kazakh; Turkish; Uzbek,spatial_temporal,Kazakh,ʉʃə,ʉ ʃ ə,A_kipchak,-1.1883,unknown,False
tip,4,Azerbaijani; Kazakh; Turkish; Uzbek,spatial_temporal,Uzbek,ut͡ʃ,u tʃ,A_kipchak,-1.0962,unknown,False
tip,4,Azerbaijani; Kazakh; Turkish; Uzbek,spatial_temporal,Azerbaijani,ud͡ʒ,u dʒ,A_oghuz,-1.018,unknown,False
tip,4,Azerbaijani; Kazakh; Turkish; Uzbek,spatial_temporal,Turkish,ut͡ʃ,u tʃ,A_oghuz,-0.9963,unknown,False
green,3,Chuvash; Kazakh; Yakut,other,Kazakh,ʒɑsəl,ʒ ɑ s ə l,A_kipchak,-1.0761,unknown,False
green,3,Chuvash; Kazakh; Yakut,other,Yakut,ot_ky͡øɣe,o t + k yø ɣ e,B_yakut,-1.284,mongolic_candidate,False
green,3,Chuvash; Kazakh; Yakut,other,Chuvash,ˈsimɘs,s i m ɘ s,C_chuvash,-1.2733,unknown,False
new,3,Azerbaijani; Chuvash; Kazakh,other,Kazakh,ʒɑŋɑ,ʒ ɑ ŋ ɑ,A_kipchak,-1.0759,unknown,False
new,3,Azerbaijani; Chuvash; Kazakh,other,Azerbaijani,jɛnɪ,j ɛ n ɪ,A_oghuz,-0.9102,unknown,False
new,3,Azerbaijani; Chuvash; Kazakh,other,Chuvash,ˈɕɘnɘ,ɕ ɘ n ɘ,C_chuvash,-1.2654,unknown,False
sort,3,Azerbaijani; Chuvash; Turkish,cognitive_abstract,Azerbaijani,t͡ʃɛʃɪd,tʃ ɛ ʃ ɪ d,A_oghuz,-1.0002,unknown,False
sort,3,Azerbaijani; Chuvash; Turkish,cognitive_abstract,Turkish,t͡ʃɛʃit,tʃ ɛ ʃ i t,A_oghuz,-0.8812,unknown,False
sort,3,Azerbaijani; Chuvash; Turkish,cognitive_abstract,Chuvash,tɘs,t ɘ s,C_chuvash,-1.2481,unknown,False
stove,3,Azerbaijani; Uzbek; Yakut,material_culture,Uzbek,pɛt͡ʃka,p ɛ tʃ k a,A_kipchak,-1.0788,unknown,False
stove,3,Azerbaijani; Uzbek; Yakut,material_culture,Azerbaijani,pɛt͡ʃ,p ɛ tʃ,A_oghuz,-1.1026,unknown,False
stove,3,Azerbaijani; Uzbek; Yakut,material_culture,Yakut,ohox,o h o x,B_yakut,-1.2778,unknown,False
walk,3,Azerbaijani; Kazakh; Turkish,verbs_actions,Kazakh,ʒʊɾəs,ʒ ʊ ɾ ə s,A_kipchak,-1.1526,unknown,False
