domain,group,n_total,n_anomalous,rate
metallurgy_materials,B_yakut,14,2,0.1429
agriculture,C_chuvash,8,1,0.1250
herding_pastoralism,C_chuvash,16,2,0.1250
cognitive_abstract,C_chuvash,62,7,0.1129
spatial_temporal,A_oghuz,146,16,0.1096
other,A_oghuz,470,51,0.1085
flora,A_kipchak,56,6,0.1071
flora,A_oghuz,57,6,0.1053
cognitive_abstract,A_oghuz,125,13,0.1040
food_drink,A_oghuz,69,7,0.1014
herding_pastoralism,A_oghuz,32,3,0.0938
body_parts,A_oghuz,175,16,0.0914
social_political,A_oghuz,94,8,0.0851
social_political,A_kipchak,83,7,0.0843
material_culture,C_chuvash,85,7,0.0824
material_culture,A_oghuz,163,13,0.0798
other,C_chuvash,242,19,0.0785
other,A_kipchak,450,34,0.0756
material_culture,A_kipchak,152,11,0.0724
kinship,A_oghuz,56,4,0.0714
herding_pastoralism,B_yakut,15,1,0.0667
natural_world,C_chuvash,91,6,0.0659
cognitive_abstract,A_kipchak,116,7,0.0603
fauna,A_oghuz,121,7,0.0579
spatial_temporal,A_kipchak,140,8,0.0571
body_parts,B_yakut,90,5,0.0556
kinship,A_kipchak,56,3,0.0536
social_political,B_yakut,42,2,0.0476
body_parts,C_chuvash,86,4,0.0465
body_parts,A_kipchak,175,8,0.0457
metallurgy_materials,A_kipchak,24,1,0.0417
material_culture,B_yakut,74,3,0.0405
natural_world,A_kipchak,175,7,0.0400
natural_world,A_oghuz,175,7,0.0400
kinship,B_yakut,26,1,0.0385
kinship,C_chuvash,28,1,0.0357
fauna,A_kipchak,116,4,0.0345
food_drink,B_yakut,32,1,0.0312
food_drink,C_chuvash,34,1,0.0294
herding_pastoralism,A_kipchak,35,1,0.0286
natural_world,B_yakut,84,2,0.0238
verbs_actions,C_chuvash,297,7,0.0236
social_political,C_chuvash,44,1,0.0227
other,B_yakut,217,4,0.0184
fauna,B_yakut,59,1,0.0169
food_drink,A_kipchak,65,1,0.0154
spatial_temporal,B_yakut,66,1,0.0152
spatial_temporal,C_chuvash,75,1,0.0133
verbs_actions,A_oghuz,584,2,0.0034
verbs_actions,B_yakut,294,1,0.0034
verbs_actions,A_kipchak,617,2,0.0032
agriculture,A_kipchak,17,0,0.0000
agriculture,A_oghuz,19,0,0.0000
agriculture,B_yakut,9,0,0.0000
cognitive_abstract,B_yakut,48,0,0.0000
fauna,C_chuvash,58,0,0.0000
flora,B_yakut,28,0,0.0000
flora,C_chuvash,27,0,0.0000
metallurgy_materials,A_oghuz,25,0,0.0000
metallurgy_materials,C_chuvash,14,0,0.0000
