language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups
Azerbaijani,I,dɯrnaɢ,d ɯ r n a ɢ,savelyev,-0.4836,-0.4836,False,False,False,6,6
Chuvash,I,ʨɘrne,tɕ ĭ r n e,savelyev,-0.9166,-0.9166,False,False,False,5,5
Kazakh,I,tɯrnaq,t ɯ r n a q,savelyev,-0.6022,-0.6022,False,False,False,6,6
Turkish,I,tɯrnak,t ɯ r n a k,savelyev,-0.4485,-0.4485,False,False,False,6,6
Turkmen,I,dɯrnaq,d ɯ r n a q,savelyev,-0.2082,-0.2082,False,False,True,6,6
Uzbek,I,tirnɔq,t i r n ɔ q,savelyev,-0.5848,-0.5848,False,False,False,6,6
Yakut,I,tɯŋɯraχ,t ɯ ŋ ɯ r a χ,savelyev,-0.9602,-0.9602,False,False,False,7,7
Kyrgyz,I,tɯrmaq,t ɯ r m a q,savelyev,-0.1936,-0.1936,False,False,True,6,6
Uyghur,I,tirmaq,t i r m a q,savelyev,-0.2239,-0.2239,False,False,True,6,6
Azerbaijani,we,biz,b i z,savelyev,-0.5869,-0.5869,False,False,False,3,3
Chuvash,we,ebir,e b i r,savelyev,-0.9025,-0.9025,False,False,False,4,4
Kazakh,we,bɘz,b ĭ z,savelyev,-0.6111,-0.6111,False,False,False,3,3
Kyrgyz,we,biz,b i z,savelyev,-0.2413,-0.2413,False,False,True,3,3
Turkish,we,biz,b i z,savelyev,-0.6893,-0.6893,False,False,False,3,3
Turkmen,we,biz,b i z,savelyev,-0.2231,-0.2231,False,False,True,3,3
Uyghur,we,biz,b i z,savelyev,-0.2049,-0.2049,False,False,True,3,3
Uzbek,we,biz,b i z,savelyev,-0.7604,-0.7604,False,False,False,3,3
Yakut,we,bihigi,b i h i g i,savelyev,-1.0688,-1.0688,False,False,False,6,6
Azerbaijani,you_2sg,siz,s i z,savelyev,-0.6135,-0.6135,False,False,False,3,3
Chuvash,you_2sg,ezir,e z i r,savelyev,-0.9669,-0.9669,False,False,False,4,4
Kazakh,you_2sg,sɘzder,s ĭ z d e r,savelyev,-0.7095,-0.7095,False,False,False,6,6
Kyrgyz,you_2sg,siler,s i l e r,savelyev,-0.2509,-0.2509,False,False,True,5,5
Turkish,you_2sg,siz,s i z,savelyev,-0.7107,-0.7107,False,False,False,3,3
Turkmen,you_2sg,siz,s i z,savelyev,-0.24,-0.24,False,False,True,3,3
Uyghur,you_2sg,siz,s i z,savelyev,-0.176,-0.176,False,False,True,3,3
Uzbek,you_2sg,sizlar,s i z l a r,savelyev,-0.7482,-0.7482,False,False,False,6,6
Yakut,you_2sg,ehigi,e h i g i,savelyev,-1.0662,-1.0662,False,False,False,5,5
Azerbaijani,that,dA,d a,savelyev,-0.6271,-0.6271,False,False,False,2,2
Chuvash,that,"rA, dA, tA",r a,savelyev,-1.0458,-1.0458,False,False,False,2,2
Kyrgyz,that,"dA, tA",d a,savelyev,-0.1378,-0.1378,False,False,True,2,2
Turkish,that,"tA, dA",t a,savelyev,-0.7021,-0.7021,False,False,False,2,2
Turkmen,that,dA,d a,savelyev,-0.3096,-0.3096,False,False,True,2,2
Uyghur,that,"dA, tA",d a,savelyev,-0.1373,-0.1373,False,False,True,2,2
Yakut,that,ɣa,ɣ a,savelyev,-1.3574,-1.3574,False,False,False,2,2
Azerbaijani,bark,ɢabɯɢ,ɢ a b ɯ ɢ,savelyev,-0.3196,-0.3196,False,False,False,5,5
Chuvash,bark,χubə̈,χ u b ə,savelyev,-0.8489,-0.8489,False,False,False,4,4
Kazakh,bark,qabɯq,q a b ɯ q,savelyev,-0.6719,-0.6719,False,False,False,5,5
Kyrgyz,bark,qabɯq,q a b ɯ q,savelyev,-0.255,-0.255,False,False,True,5,5
Turkish,bark,"kabuk, (aɣaʨ) kabuɣu",k a b u k,savelyev,-0.4221,-0.4221,False,False,False,5,5
Turkmen,bark,ɢabɯq,ɢ a b ɯ q,savelyev,-0.153,-0.153,False,False,True,5,5
Uyghur,bark,qovzaq,q o v z a q,savelyev,-1.1733,-1.1733,False,False,True,6,6
Yakut,bark,χatɯrɯk,χ a t ɯ r ɯ k,savelyev,-0.9877,-0.9877,False,False,False,7,7
Kazakh,big,ylken,y l k e n,savelyev,-0.7593,-0.7593,False,False,False,5,5
Turkmen,big,ulɯ,u l ɯ,savelyev,-0.2367,-0.2367,False,False,True,3,3
Yakut,big,ulaχan,u l a χ a n,savelyev,-0.8657,-0.8657,False,False,False,6,6
Azerbaijani,big,bøjyk,b ø j y k,savelyev,-0.5992,-0.5992,False,False,False,5,5
Turkish,big,byjyk,b y j y k,savelyev,-0.809,-0.809,False,False,False,5,5
Chuvash,big,pɯzə̈k,p ɯ z ə k,savelyev,-0.9537,-0.9537,False,False,False,5,5
Azerbaijani,bird,ɢuʃ,ɢ u ʃ,savelyev,-0.5087,-0.5087,False,False,False,3,3
Kazakh,bird,qŭs,q u s,savelyev,-0.728,-0.728,False,False,False,3,3
Turkish,bird,kuʃ,k u ʃ,savelyev,-0.5249,-0.5249,False,False,False,3,3
Turkmen,bird,ɢuʃ,ɢ u ʃ,savelyev,-0.0409,-0.0409,False,False,True,3,3
Uyghur,bird,quʃ,q u ʃ,savelyev,-0.2485,-0.2485,False,False,True,3,3
Uzbek,bird,quʃ,q u ʃ,savelyev,-0.7776,-0.7776,False,False,False,3,3
Yakut,bird,køtør,k ø t ø r,savelyev,-1.0468,-1.0468,False,False,False,5,5
Kyrgyz,bird,qanattu:,q a n a t t uː,savelyev,-1.0636,-1.0636,False,False,True,7,7
Chuvash,bird,kajə̈k,k a j ə k,savelyev,-1.0329,-1.0329,False,False,False,5,5
Azerbaijani,blood,ɢan,ɢ a n,savelyev,-0.2974,-0.2974,False,False,False,3,3
Chuvash,blood,jun,j u n,savelyev,-0.8486,-0.8486,False,False,False,3,3
Kazakh,blood,qan,q a n,savelyev,-0.5897,-0.5897,False,False,False,3,3
Kyrgyz,blood,qan,q a n,savelyev,-0.2264,-0.2264,False,False,True,3,3
Turkish,blood,kan,k a n,savelyev,-0.3657,-0.3657,False,False,False,3,3
Turkmen,blood,ɢa:n,ɢ aː n,savelyev,-0.0697,-0.0697,False,False,True,3,3
Uyghur,blood,qan,q a n,savelyev,-0.2071,-0.2071,False,False,True,3,3
Uzbek,blood,qɔn,q ɔ n,savelyev,-0.4363,-0.4363,False,False,False,3,3
Yakut,blood,χa:n,χ aː n,savelyev,-0.8714,-0.8714,False,False,False,3,3
Azerbaijani,bone,symyk,s y m y k,savelyev,-0.6456,-0.6456,False,False,False,5,5
Chuvash,bone,ʃömö,ʃ ŏ m ŏ,savelyev,-0.4537,-0.4537,False,False,False,4,4
Kazakh,bone,syjek,s y j e k,savelyev,-0.8195,-0.8195,False,False,False,5,5
Kyrgyz,bone,søøk,s øː k,savelyev,-0.1895,-0.1895,False,False,True,3,3
Turkmen,bone,syŋk,s y ŋ k,savelyev,-1.5433,-1.5433,False,False,True,4,4
Uyghur,bone,"søŋɛk, syŋɛk, syjɛk",s ø ŋ ɛ k,savelyev,-0.0988,-0.0988,False,False,True,5,5
Uzbek,bone,sujak,s u j a k,savelyev,-0.8671,-0.8671,False,False,False,5,5
Yakut,bone,uŋuoχ,u ŋ u o χ,savelyev,-1.0609,-1.0609,False,False,False,5,5
Turkish,bone,kemik,k e m i k,savelyev,-0.3593,-0.3593,False,False,False,5,5
Azerbaijani,dog,it,i t,savelyev,-0.5466,-0.5466,False,False,False,2,2
Chuvash,dog,jɯdə̈,j ɯ d ə,savelyev,-0.7154,-0.7154,False,False,False,4,4
Kazakh,dog,it,i t,savelyev,-0.4777,-0.4777,False,False,False,2,2
Kyrgyz,dog,it,i t,savelyev,-0.3449,-0.3449,False,False,True,2,2
