language,gloss,form,ipa_tokens,cogid,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,n_tokens,n_lookups
Azerbaijani,I,dɯrnaɢ,d ɯ r n a ɢ,31,savelyev,-0.1003,-0.1003,False,False,6,6
Chuvash,I,ʨɘrne,tɕ ĭ r n e,32,savelyev,-1.2559,-1.2559,False,False,5,5
Kazakh,I,tɯrnaq,t ɯ r n a q,31,savelyev,-0.1681,-0.1681,False,False,6,6
Turkish,I,tɯrnak,t ɯ r n a k,31,savelyev,-0.0935,-0.0935,False,False,6,6
Turkmen,I,dɯrnaq,d ɯ r n a q,31,savelyev,-0.1153,-0.1153,False,False,6,6
Uzbek,I,tirnɔq,t i r n ɔ q,31,savelyev,-0.163,-0.163,False,False,6,6
Yakut,I,tɯŋɯraχ,t ɯ ŋ ɯ r a χ,31,savelyev,-0.9455,-0.9455,False,False,7,7
Kyrgyz,I,tɯrmaq,t ɯ r m a q,31,savelyev,-0.1169,-0.1169,False,False,6,6
Uyghur,I,tirmaq,t i r m a q,31,savelyev,-0.12,-0.12,False,False,6,6
Azerbaijani,we,biz,b i z,891,savelyev,-0.1905,-0.1905,False,False,3,3
Chuvash,we,ebir,e b i r,891,savelyev,-0.1259,-0.1259,False,False,4,4
Kazakh,we,bɘz,b ĭ z,891,savelyev,-0.166,-0.166,False,False,3,3
Kyrgyz,we,biz,b i z,891,savelyev,-0.1602,-0.1602,False,False,3,3
Turkish,we,biz,b i z,891,savelyev,-0.15,-0.15,False,False,3,3
Turkmen,we,biz,b i z,891,savelyev,-0.1856,-0.1856,False,False,3,3
Uyghur,we,biz,b i z,891,savelyev,-0.1323,-0.1323,False,False,3,3
Uzbek,we,biz,b i z,891,savelyev,-0.1836,-0.1836,False,False,3,3
Yakut,we,bihigi,b i h i g i,891,savelyev,-0.4425,-0.4425,False,False,6,6
Azerbaijani,you_2sg,siz,s i z,17,savelyev,-0.2877,-0.2877,False,False,3,3
Chuvash,you_2sg,ezir,e z i r,16,savelyev,-0.1259,-0.1259,False,False,4,4
Kazakh,you_2sg,sɘzder,s ĭ z d e r,17,savelyev,-0.2357,-0.2357,False,False,6,6
Kyrgyz,you_2sg,siler,s i l e r,17,savelyev,-0.2039,-0.2039,False,False,5,5
Turkish,you_2sg,siz,s i z,17,savelyev,-0.2246,-0.2246,False,False,3,3
Turkmen,you_2sg,siz,s i z,17,savelyev,-0.2443,-0.2443,False,False,3,3
Uyghur,you_2sg,siz,s i z,17,savelyev,-0.1323,-0.1323,False,False,3,3
Uzbek,you_2sg,sizlar,s i z l a r,16,savelyev,-1.1207,-1.1207,False,False,6,6
Yakut,you_2sg,ehigi,e h i g i,17,savelyev,-0.4916,-0.4916,False,False,5,5
Azerbaijani,that,dA,d a,557,savelyev,-0.2822,-0.2822,False,False,2,2
Chuvash,that,"rA, dA, tA",r a,557,savelyev,-0.2826,-0.2826,False,False,2,2
Kyrgyz,that,"dA, tA",d a,558,savelyev,-0.0446,-0.0446,False,False,2,2
Turkish,that,"tA, dA",t a,557,savelyev,-0.2805,-0.2805,False,False,2,2
Turkmen,that,dA,d a,557,savelyev,-0.206,-0.206,False,False,2,2
Uyghur,that,"dA, tA",d a,557,savelyev,-0.029,-0.029,False,False,2,2
Yakut,that,ɣa,ɣ a,557,savelyev,-0.1155,-0.1155,False,False,2,2
Azerbaijani,bark,ɢabɯɢ,ɢ a b ɯ ɢ,675,savelyev,-0.0974,-0.0974,False,False,5,5
Chuvash,bark,χubə̈,χ u b ə,675,savelyev,-0.0993,-0.0993,False,False,4,4
Kazakh,bark,qabɯq,q a b ɯ q,675,savelyev,-0.2018,-0.2018,False,False,5,5
Kyrgyz,bark,qabɯq,q a b ɯ q,675,savelyev,-0.1871,-0.1871,False,False,5,5
Turkish,bark,"kabuk, (aɣaʨ) kabuɣu",k a b u k,675,savelyev,-0.1351,-0.1351,False,False,5,5
Turkmen,bark,ɢabɯq,ɢ a b ɯ q,675,savelyev,-0.1007,-0.1007,False,False,5,5
Uyghur,bark,qovzaq,q o v z a q,675,savelyev,-1.0438,-1.0438,False,False,6,6
Yakut,bark,χatɯrɯk,χ a t ɯ r ɯ k,677,savelyev,-0.0884,-0.0884,False,False,7,7
Kazakh,big,ylken,y l k e n,76,savelyev,-1.4625,-1.4625,False,False,5,5
Turkmen,big,ulɯ,u l ɯ,77,savelyev,-0.0644,-0.0644,False,False,3,3
Yakut,big,ulaχan,u l a χ a n,77,savelyev,-1.0963,-1.0963,False,False,6,6
Azerbaijani,big,bøjyk,b ø j y k,78,savelyev,-0.0522,-0.0522,False,False,5,5
Turkish,big,byjyk,b y j y k,78,savelyev,-0.0651,-0.0651,False,False,5,5
Chuvash,big,pɯzə̈k,p ɯ z ə k,79,savelyev,-0.1064,-0.1064,False,False,5,5
Azerbaijani,bird,ɢuʃ,ɢ u ʃ,275,savelyev,-0.0475,-0.0475,False,False,3,3
Kazakh,bird,qŭs,q u s,275,savelyev,-0.1738,-0.1738,False,False,3,3
Turkish,bird,kuʃ,k u ʃ,275,savelyev,-0.1263,-0.1263,False,False,3,3
Turkmen,bird,ɢuʃ,ɢ u ʃ,275,savelyev,0.0,0.0,False,False,3,3
Uyghur,bird,quʃ,q u ʃ,275,savelyev,-0.054,-0.054,False,False,3,3
Uzbek,bird,quʃ,q u ʃ,275,savelyev,-0.1269,-0.1269,False,False,3,3
Yakut,bird,køtør,k ø t ø r,276,savelyev,-0.3201,-0.3201,False,False,5,5
Kyrgyz,bird,qanattu:,q a n a t t uː,277,savelyev,-0.9569,-0.9569,False,False,7,7
Chuvash,bird,kajə̈k,k a j ə k,278,savelyev,-0.2507,-0.2507,False,False,5,5
Azerbaijani,blood,ɢan,ɢ a n,13,savelyev,-0.1091,-0.1091,False,False,3,3
Chuvash,blood,jun,j u n,13,savelyev,-0.1324,-0.1324,False,False,3,3
Kazakh,blood,qan,q a n,13,savelyev,-0.1402,-0.1402,False,False,3,3
Kyrgyz,blood,qan,q a n,13,savelyev,-0.1214,-0.1214,False,False,3,3
Turkish,blood,kan,k a n,13,savelyev,-0.091,-0.091,False,False,3,3
Turkmen,blood,ɢa:n,ɢ aː n,13,savelyev,-0.0289,-0.0289,False,False,3,3
Uyghur,blood,qan,q a n,13,savelyev,-0.0523,-0.0523,False,False,3,3
Uzbek,blood,qɔn,q ɔ n,13,savelyev,-0.0558,-0.0558,False,False,3,3
Yakut,blood,χa:n,χ aː n,13,savelyev,0.0,0.0,False,False,3,3
Azerbaijani,bone,symyk,s y m y k,14,savelyev,-0.0828,-0.0828,False,False,5,5
Chuvash,bone,ʃömö,ʃ ŏ m ŏ,14,savelyev,-0.0676,-0.0676,False,False,4,4
Kazakh,bone,syjek,s y j e k,14,savelyev,-1.4541,-1.4541,False,False,5,5
Kyrgyz,bone,søøk,s øː k,14,savelyev,-0.1632,-0.1632,False,False,3,3
Turkmen,bone,syŋk,s y ŋ k,14,savelyev,-1.5747,-1.5747,False,False,4,4
Uyghur,bone,"søŋɛk, syŋɛk, syjɛk",s ø ŋ ɛ k,14,savelyev,-0.0793,-0.0793,False,False,5,5
Uzbek,bone,sujak,s u j a k,14,savelyev,-1.3556,-1.3556,False,False,5,5
Yakut,bone,uŋuoχ,u ŋ u o χ,14,savelyev,-2.4463,-2.4463,False,False,5,5
Turkish,bone,kemik,k e m i k,15,savelyev,-0.1103,-0.1103,False,False,5,5
Azerbaijani,dog,it,i t,249,savelyev,-0.1632,-0.1632,False,False,2,2
Chuvash,dog,jɯdə̈,j ɯ d ə,249,savelyev,-0.0248,-0.0248,False,False,4,4
Kazakh,dog,it,i t,249,savelyev,-0.0818,-0.0818,False,False,2,2
Kyrgyz,dog,it,i t,249,savelyev,-0.2114,-0.2114,False,False,2,2
Turkmen,dog,it,i t,249,savelyev,-0.1558,-0.1558,False,False,2,2
Uyghur,dog,iʃt,i ʃ t,249,savelyev,-0.207,-0.207,False,False,3,3
Uzbek,dog,it,i t,249,savelyev,-0.4054,-0.4054,False,False,2,2
Yakut,dog,ɯt,ɯ t,249,savelyev,-0.1505,-0.1505,False,False,2,2
Turkish,dog,køpek,k ø p e k,251,savelyev,-0.0693,-0.0693,False,False,5,5
Azerbaijani,ear,ɢulaɢ,ɢ u l a ɢ,50,savelyev,-0.0939,-0.0939,False,False,5,5
Chuvash,ear,χölɣa,χ ŏ l ɣ a,50,savelyev,-2.5044,-2.5044,False,False,5,5
Kazakh,ear,qulaq,q u l a q,50,savelyev,-0.1968,-0.1968,False,False,5,5
Kyrgyz,ear,qulaq,q u l a q,50,savelyev,-0.1504,-0.1504,False,False,5,5
Turkish,ear,kulak,k u l a k,50,savelyev,-0.1106,-0.1106,False,False,5,5
Turkmen,ear,ɢulaq,ɢ u l a q,50,savelyev,-0.0376,-0.0376,False,False,5,5
Uyghur,ear,qulaq,q u l a q,50,savelyev,-0.0522,-0.0522,False,False,5,5
Uzbek,ear,qulɔq,q u l ɔ q,50,savelyev,-0.0749,-0.0749,False,False,5,5
Yakut,ear,kulga:χ,k u l g aː χ,50,savelyev,-1.0193,-1.0193,False,False,6,6
Yakut,feather,aha:,a h aː,453,savelyev,-0.3511,-0.3511,False,False,3,3
Azerbaijani,feather,je,j e,453,savelyev,-0.0693,-0.0693,False,False,2,2
Chuvash,feather,ɕi,ɕ i,453,savelyev,-0.3355,-0.3355,False,False,2,2
Kazakh,feather,ʒe,ʒ e,100085,lexstat,-0.2795,-0.5795,True,False,2,2
Kyrgyz,feather,ʥe,ʥ e,100085,lexstat,-0.2582,-0.5582,True,False,2,2
Turkish,feather,je,j e,453,savelyev,-0.1733,-0.1733,False,False,2,2
Turkmen,feather,ij,i j,456,savelyev,-0.1558,-0.1558,False,False,2,2
Uyghur,feather,ji,j i,100090,lexstat,-0.1372,-0.4372,True,False,2,2
Uzbek,feather,je,j e,100085,lexstat,-0.1553,-0.4553,True,False,2,2
Azerbaijani,egg,jumurta,j u m u r t a,139,savelyev,-0.1073,-0.1073,False,False,7,7
Chuvash,egg,ɕömarda,ɕ ŏ m a r d a,139,savelyev,-0.2047,-0.2047,False,False,7,7
Kazakh,egg,ʒŭmɯrtqa,ʒ u m ɯ r t q a,139,savelyev,-0.1261,-0.1261,False,False,8,8
Kyrgyz,egg,ʥumurtqa,ʥ u m u r t q a,139,savelyev,-0.0755,-0.0755,False,False,8,8
Turkish,egg,jumurta,j u m u r t a,139,savelyev,-0.1601,-0.1601,False,False,7,7
Turkmen,egg,jumurtɢa,j u m u r t ɢ a,139,savelyev,-0.0524,-0.0524,False,False,8,8
Yakut,egg,sɯmɯ:t,s ɯ m ɯː t,139,savelyev,-2.543,-2.543,False,False,5,5
