cluster,language,gloss,turkic_form,ref_language,ref_form,phon_similarity
5,Yakut,bone,uŋuoχ,Mongolic,j a s,0.0
5,Yakut,bone,uŋuoχ,Tungusic,j ɛ k t ə,0.0
5,Yakut,bone,uŋuoχ,Persian,N/A,
2,Chuvash,ear,χölɣa,Mongolic,ʧ i x,0.0
2,Chuvash,ear,χölɣa,Tungusic,t ɔ k s o,0.0
2,Chuvash,ear,χölɣa,Persian,N/A,
5,Yakut,egg,sɯmɯ:t,Mongolic,ø n d e g,0.0
5,Yakut,egg,sɯmɯ:t,Tungusic,a n n a n,0.0
5,Yakut,egg,sɯmɯ:t,Persian,N/A,
2,Kazakh,all,? ʒɯɣɯl,Mongolic,b ü g d,0.0
2,Kazakh,all,? ʒɯɣɯl,Tungusic,b ɨ r,0.0
2,Kazakh,all,? ʒɯɣɯl,Persian,h æ m e,0.0
2,Kyrgyz,all,ʥɯɣɯl,Mongolic,b ü g d,0.0
2,Kyrgyz,all,ʥɯɣɯl,Tungusic,b ɨ r,0.0
2,Kyrgyz,all,ʥɯɣɯl,Persian,h æ m e,0.0
2,Uyghur,all,ʒiqil,Mongolic,b ü g d,0.0
2,Uyghur,all,ʒiqil,Tungusic,b ɨ r,0.0
2,Uyghur,all,ʒiqil,Persian,h æ m e,0.0
3,Azerbaijani,grease,jaɣ,Mongolic,ʧ ʰ i x,0.0
3,Azerbaijani,grease,jaɣ,Tungusic,t u k s a,0.0
3,Azerbaijani,grease,jaɣ,Persian,r o ɣ æ n,0.0
3,Turkmen,grease,jaɣ,Mongolic,ʧ ʰ i x,0.0
3,Turkmen,grease,jaɣ,Tungusic,t u k s a,0.0
3,Turkmen,grease,jaɣ,Persian,r o ɣ æ n,0.0
3,Uzbek,grease,jɔɣ,Mongolic,ʧ ʰ i x,0.0
3,Uzbek,grease,jɔɣ,Tungusic,t u k s a,0.0
3,Uzbek,grease,jɔɣ,Persian,r o ɣ æ n,0.0
