language,gloss,form,ipa_tokens,cogid,is_loan,reason
Uzbek,I,tirnɔq,t i r n ɔ q,31,False,
Uzbek,we,biz,b i z,891,False,
Uzbek,you_2sg,sizlar,s i z l a r,16,False,
Uzbek,bird,quʃ,q u ʃ,275,False,
Uzbek,blood,qɔn,q ɔ n,13,False,
Uzbek,bone,sujak,s u j a k,14,False,
Uzbek,dog,it,i t,249,False,
Uzbek,ear,qulɔq,q u l ɔ q,50,False,
Uzbek,feather,je,j e,100085,False,
Uzbek,eye,koz,k o z,245,False,
Uzbek,all,jiqil,j i q i l,100017,False,
Uzbek,grease,jɔɣ,j ɔ ɣ,694,False,
Uzbek,fish,baliq,b a l i q,98,False,
Uzbek,hair,sɔʨ,s ɔ tɕ,74,False,
Uzbek,head,bɔʃ,b ɔ ʃ,421,False,
Uzbek,long,uzun,u z u n,217,False,
Uzbek,louse,bit,b i t,34,False,
Uzbek,man,erkak (kiʃi),e r k a k k i ʃ i,335,False,
Uzbek,many,kop,k o p,521,False,
Uzbek,not,miʃi(ri)q,m i ʃ i q,148,False,
Uzbek,one,bir,b i r,80,False,
Uzbek,person,kiʃi,k i ʃ i,770,False,
Uzbek,root,ildiz,i l d i z,19,False,
Uzbek,seed,kor,k o r,799,False,
Uzbek,skin,teri,t e r i,182,False,
Uzbek,small,kiʨkina,k i tɕ k i n a,280,False,
Uzbek,that,o(ʃa),o,557,False,
Uzbek,this,bu,b u,96,False,
Uzbek,two,ikki,i kː i,348,False,
Uzbek,what,nima,n i m a,129,False,
Uzbek,who,kim,k i m,81,False,
Uzbek,woman,χɔtin (kiʃi),χ ɔ t i n,589,True,explicit_known_loan
Uzbek,tree,daraχt,d a r a χ t,100228,True,explicit_known_loan
Uzbek,bark,qɒbiq,q ɒ b i q,100025,False,
Uzbek,leaf,barɡ,b a r g,100134,False,
Uzbek,horn,muɡiz,m u g i z,100126,False,
Uzbek,tail,qujruq,q u j r u q,100209,False,
Uzbek,egg,tuχum,t u χ u m,100074,True,explicit_known_loan
Uzbek,flesh,ɡoʃt,g o ʃ t,100104,True,explicit_known_loan
Uzbek,big,bujuk,b u j u k,100030,False,
Uzbek,nose,burun,b u r u n,,False,
Uzbek,mouth,ɒɣiz,ɒ ɣ i z,,False,
Uzbek,tooth,tiʃ,t i ʃ,,False,
Uzbek,tongue,til,t i l,,False,
Uzbek,lip,dudɒq,d u d ɒ q,,False,
Uzbek,cheek,bɛt,b ɛ t,,False,
Uzbek,face,juz,j u z,,False,
Uzbek,forehead,maŋlaj,m a ŋ l a j,,False,
Uzbek,moustache,mojlɒw,m o j l ɒ w,,False,
Uzbek,beard,sɒqɒl,s ɒ q ɒ l,,False,
Uzbek,chin,æŋak,æ ŋ a k,,False,
Uzbek,jaw,ijak,i j a k,,False,
Uzbek,throat,boɣiz,b o ɣ i z,,False,
Uzbek,neck,bojin,b o j i n,,False,
Uzbek,nape,ɡardan,g a r d a n,,False,
Uzbek,back,ɒrqa,ɒ r q a,,False,
Uzbek,belly,qɒrin,q ɒ r i n,,False,
Uzbek,navel,kindik,k i n d i k,,False,
Uzbek,bosom,æmt͡ʃak,æ m tʃ a k,,False,
Uzbek,breast,kokrak,k o k r a k,,False,
Uzbek,shoulder,ɛlka,ɛ l k a,,False,
Uzbek,arm,bilak,b i l a k,,False,
Uzbek,elbow,tirsak,t i r s a k,,False,
Uzbek,hand,qol,q o l,,False,
Uzbek,palm,kaft,k a f t,,True,explicit_known_loan; phon_strong:ar_pe_f
Uzbek,finger,barmɒq,b a r m ɒ q,,False,
Uzbek,fingernail,tirnɒq,t i r n ɒ q,,False,
Uzbek,nail,tirnɒq,t i r n ɒ q,,False,
Uzbek,toe,ɒjɒq_barmɒɣi,ɒ j ɒ q + b a r m ɒ ɣ i,,False,
Uzbek,foot,ɒjɒq,ɒ j ɒ q,,False,
Uzbek,heel,tɒwɒn,t ɒ w ɒ n,,False,
Uzbek,knee,tiz,t i z,,False,
Uzbek,thigh,sɒn,s ɒ n,,False,
Uzbek,leg,ɒjɒq,ɒ j ɒ q,,False,
Uzbek,body,badna,b a d n a,,True,explicit_known_loan
Uzbek,vein,qɒn_tɒmir,q ɒ n + t ɒ m i r,,False,
Uzbek,sinew,tɒmir,t ɒ m i r,,False,
Uzbek,brain,mija,m i j a,,False,
Uzbek,heart,qalb,q a l b,,True,explicit_known_loan
Uzbek,stomach,ɒʃqɒzɒn,ɒ ʃ q ɒ z ɒ n,,False,
Uzbek,liver,baɣir,b a ɣ i r,,False,
Uzbek,breath,dam,d a m,,False,
Uzbek,hunger,ɒt͡ʃlik,ɒ tʃ l i k,,False,
Uzbek,tear,jɒʃ,j ɒ ʃ,,False,
Uzbek,flavour,tam,t a m,,False,
Uzbek,odour,d͡ʒid,dʒ i d,,False,
Uzbek,sleep,ujqu,u j q u,,False,
Uzbek,dream,tuʃ,t u ʃ,,False,
Uzbek,sky,ɒsmɒn,ɒ s m ɒ n,,False,
Uzbek,sun,qujɒʃ,q u j ɒ ʃ,,False,
Uzbek,moon,ɒj,ɒ j,,False,
Uzbek,star,julduz,j u l d u z,,False,
Uzbek,air,hawɒ,h a w ɒ,,True,explicit_known_loan; phon_strong:ar_pe_h
Uzbek,wind,ɛl,ɛ l,,False,
Uzbek,wave,tolqin,t o l q i n,,False,
Uzbek,water,suw,s u w,,False,
Uzbek,stone,tɒʃ,t ɒ ʃ,,False,
Uzbek,ground,tuprɒq,t u p r ɒ q,,False,
Uzbek,earth,ɛr,ɛ r,,False,
Uzbek,dust,t͡ʃaŋ,tʃ a ŋ,,False,
Uzbek,smoke,tutun,t u t u n,,False,
Uzbek,spark,jalt,j a l t,,False,
Uzbek,fire,ot,o t,,False,
Uzbek,light,jɒruɣ,j ɒ r u ɣ,,False,
Uzbek,shadow,sɒja,s ɒ j a,,False,
Uzbek,weather,hawɒ,h a w ɒ,,True,explicit_known_loan; phon_strong:ar_pe_h
Uzbek,fog,tuman,t u m a n,,False,
Uzbek,cloud,bulut,b u l u t,,False,
Uzbek,rain,jɒmɣir,j ɒ m ɣ i r,,False,
Uzbek,snow,qɒr,q ɒ r,,False,
Uzbek,ice,muz,m u z,,False,
Uzbek,frost,ad͡ʒɒz,a dʒ ɒ z,,False,
Uzbek,chill,ad͡ʒɒz,a dʒ ɒ z,,False,
Uzbek,heat,isːiq,i sː i q,,False,
Uzbek,hoarfrost,qirɒw,q i r ɒ w,,False,
